log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,total_params,trainable_params,mt_score_mean,mt_score_std,mt_score_2task_mean,mt_score_2task_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,selection_score,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),Setting,lora_alpha,r,few_shot_k,# params (%trainable)
BPI20PrepaidTravelCosts,llama32-1b,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1235988514.0,241698.0,2.060918997634132,0.0732816269573121,1.926572114862232,0.0087072551136969,0.1204752475247525,0.0590058474253965,3.220017440644821,0.0653623281041781,1.1350560269686256,0.0864526075180286,1.3121941582141534,0.0746382187642039,0.1220990099009901,0.0573688007208398,3.220017440644821,0.0653623281041781,1.1350560269686256,0.0864526075180286,1.3121941582141534,0.0746382187642039,,BPI20PTC,Llama3.2-1B,0.1205 ± 0.059,3.22 ± 0.0654,1.1351 ± 0.0865,1.3122 ± 0.0746,0.1221 ± 0.0574,3.22 ± 0.0654,1.1351 ± 0.0865,1.3122 ± 0.0746,0.00985 ± 0.00008,FewShot-Freezing,,,8.0,1.2e+09 (0%)
BPI20PrepaidTravelCosts,llama32-1b,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,,sum,0.1,5.0,1416343586.0,180529186.0,1.7604274951926613,0.2582031495358771,1.713039525036761,0.2658007923062549,0.0424950495049505,0.028268878596579,4.318904320367492,1.6918263887877818,1.765939622388028,0.3223509608218198,4.210854988173684,4.115212706205489,0.1036039603960396,0.023858469071108,3.253902315876272,0.1794807307325025,1.281199413960523,0.0965695878466547,1.5514598318043322,0.0528186324505408,,BPI20PTC,Llama3.2-1B,0.0425 ± 0.0283,4.3189 ± 1.6918,1.7659 ± 0.3224,4.2109 ± 4.1152,0.1036 ± 0.0239,3.2539 ± 0.1795,1.2812 ± 0.0966,1.5515 ± 0.0528,0.02013 ± 0.00027,FewShot-LoRA,512.0,256.0,8.0,1.4e+09 (13%)
BPI20PrepaidTravelCosts,llama32-1b,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1235988514.0,241698.0,2.629203428699418,0.0034840435202454,1.9458097192936343,0.0015004428988286,0.6128316831683168,0.0035184056775634,1.3160298013781555,0.0263541285378289,1.0048844193090307,0.0165487372330594,1.1173240976428045,0.0150107349295142,0.6131881188118812,0.0027531162441884,1.3160298013781555,0.0263541285378289,0.9929462464965216,0.0103313552777764,1.0929097066728195,0.0139405171343262,,BPI20PTC,Llama3.2-1B,0.6128 ± 0.0035,1.316 ± 0.0264,1.0049 ± 0.0165,1.1173 ± 0.015,0.6132 ± 0.0028,1.316 ± 0.0264,0.9929 ± 0.0103,1.0929 ± 0.0139,0.04367 ± 0.00065,Freezing,,,,1.2e+09 (0%)
BPI20PrepaidTravelCosts,llama32-1b,8.0,2048.0,10.0,"-1,-2",5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1235988514.0,121876514.0,2.65071001815667,0.0348158647173807,1.9179851226706053,0.0411135039563357,0.6570693069306931,0.0297924066067582,1.0396285869296231,0.098445737178489,1.1411186859961784,0.2305337095941519,1.4462103444656522,0.466718201909034,0.6652277227722773,0.0149793832763852,0.9861291116204592,0.0431378684437436,0.9766989487185338,0.0731630848346291,1.0529987974261292,0.1105353893655468,,BPI20PTC,Llama3.2-1B,0.6571 ± 0.0298,1.0396 ± 0.0984,1.1411 ± 0.2305,1.4462 ± 0.4667,0.6652 ± 0.015,0.9861 ± 0.0431,0.9767 ± 0.0732,1.053 ± 0.1105,0.04981 ± 0.00042,"Freezing-[-1, -2]",,,,1.2e+09 (10%)
BPI20PrepaidTravelCosts,llama32-1b,8.0,2048.0,10.0,-1,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1235988514.0,61059106.0,2.670520046249545,0.0074587371242025,1.936514394813321,0.0141296421850107,0.6582178217821782,0.0068567483933389,1.0568390581867484,0.0242417292379305,1.0438875550562792,0.0783253677375467,1.233076766948889,0.168392922232152,0.6656237623762377,0.002851072577414,1.015990844651024,0.0572095249825816,0.9681339553606392,0.0281336246637061,1.1100307149603814,0.0711560559053935,,BPI20PTC,Llama3.2-1B,0.6582 ± 0.0069,1.0568 ± 0.0242,1.0439 ± 0.0783,1.2331 ± 0.1684,0.6656 ± 0.0029,1.016 ± 0.0572,0.9681 ± 0.0281,1.11 ± 0.0712,0.04658 ± 0.00043,Freezing-[-1],,,,1.2e+09 (5%)
BPI20PrepaidTravelCosts,llama32-1b,8.0,2048.0,10.0,"0,1",5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1235988514.0,121876514.0,2.6412710401081934,0.0365591232168443,1.8985650810105408,0.016850763519614,0.6660198019801981,0.0196087602884776,1.003619599899443,0.1080521561028037,1.2850518912891349,0.1473711625086386,1.631606882831838,0.3018106635339489,0.6789702970297029,0.0149379660307016,0.9051543217083016,0.0648956770012321,1.0246246493500055,0.1006072833820296,1.33757814046652,0.1619165600550239,,BPI20PTC,Llama3.2-1B,0.666 ± 0.0196,1.0036 ± 0.1081,1.2851 ± 0.1474,1.6316 ± 0.3018,0.679 ± 0.0149,0.9052 ± 0.0649,1.0246 ± 0.1006,1.3376 ± 0.1619,0.04990 ± 0.00023,"Freezing-[0, 1]",,,,1.2e+09 (10%)
BPI20PrepaidTravelCosts,llama32-1b,8.0,2048.0,10.0,0,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1235988514.0,61059106.0,2.6571769384576727,0.0063925695608367,1.9412785263168069,0.0064331656461949,0.641980198019802,0.0070331883703675,1.0555747875742394,0.0523446498266786,1.0248220025997352,0.0544592246196926,1.1729143390466672,0.1079027621513803,0.6473267326732673,0.0070331883703675,1.021521949843605,0.0231933885766398,0.9518098343953044,0.0220496165652871,1.141952675942147,0.0855212622779611,,BPI20PTC,Llama3.2-1B,0.642 ± 0.007,1.0556 ± 0.0523,1.0248 ± 0.0545,1.1729 ± 0.1079,0.6473 ± 0.007,1.0215 ± 0.0232,0.9518 ± 0.022,1.142 ± 0.0855,0.04655 ± 0.00033,Freezing-[0],,,,1.2e+09 (5%)
BPI20PrepaidTravelCosts,llama32-1b,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,,sum,0.1,10.0,1416343586.0,180529186.0,2.701221985985477,0.2209301519984595,1.9409166735727024,0.0183411063678237,0.6818019801980199,0.1827688433742939,1.0401684562569795,0.5969799848366907,1.0454765852795966,0.1585603991840666,1.1601257978524313,0.1799220300175411,0.7755841584158415,0.0331882671557397,0.7752094738389006,0.0768424508415073,0.9349518038022636,0.0415779553847361,0.9909925839499673,0.0224126445805829,,BPI20PTC,Llama3.2-1B,0.6818 ± 0.1828,1.0402 ± 0.597,1.0455 ± 0.1586,1.1601 ± 0.1799,0.7756 ± 0.0332,0.7752 ± 0.0768,0.935 ± 0.0416,0.991 ± 0.0224,0.08034 ± 0.01582,LoRA,512.0,256.0,,1.4e+09 (13%)
BPI20PrepaidTravelCosts,llama32-1b,8.0,2048.0,0.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1235988514.0,241698.0,1.400744186238868,0.3960437829845837,1.3744666072614582,0.3982280571095667,0.0235643564356435,0.0215582549623994,4.194452032108119,0.200159417326558,5.95667636977092,6.6368336272284285,5.923531662364998,6.220638445962336,0.0235643564356435,0.0215582549623994,4.194452032108119,0.200159417326558,5.95667636977092,6.6368336272284285,5.923531662364998,6.220638445962336,,BPI20PTC,Llama3.2-1B,0.0236 ± 0.0216,4.1945 ± 0.2002,5.9567 ± 6.6368,5.9235 ± 6.2206,0.0236 ± 0.0216,4.1945 ± 0.2002,5.9567 ± 6.6368,5.9235 ± 6.2206,0.00093 ± 0.00004,ZeroShot,,,,1.2e+09 (0%)
