log,backbone,lr,batch_size,epochs,r,lora_alpha,embedding_size,hidden_size,strategy,n_runs,total_params,trainable_params,mt_score_mean,mt_score_std,mt_score_2task_mean,mt_score_2task_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),# params (%trainable)
BPI20PrepaidTravelCosts,gemma-2-2b,5e-05,8,10,16.0,32.0,2304,2304,sum,5.0,2635304482.0,20962594.0,2.5474949339129287,0.038482984597316465,1.8475397251516346,0.0328834838130594,0.6276831683168317,0.013969451455348461,1.1661498872926919,0.07360958808254356,1.4999525727564746,0.28964926488961795,2.310489946119856,0.3787181574859949,0.6543762376237624,0.023386717072682587,1.0300437452108553,0.042821243011688846,0.9817229559020241,0.05635111678845146,1.286854112568468,0.17198148223934212,0.6277 ± 0.014,1.1661 ± 0.0736,1.5 ± 0.2896,2.3105 ± 0.3787,0.6544 ± 0.0234,1.03 ± 0.0428,0.9817 ± 0.0564,1.2869 ± 0.172,0.06936 ± 0.00130,2.6e+09 (1%)
BPI20PrepaidTravelCosts,gemma-2-2b,5e-05,8,10,32.0,64.0,2304,2304,sum,5.0,2656071202.0,41729314.0,2.5484598487391668,0.03899014687919231,1.8256718528664089,0.03475232167872425,0.6481584158415842,0.01369375298079206,1.0785291810177342,0.05483772607302265,1.5142048370436867,0.3784755026863568,2.651825594005018,0.6850442178476267,0.6594455445544555,0.008779448603002784,1.0248224698434965,0.07314582964132205,0.8901503972535088,0.043711926586897924,1.112851029632115,0.10831119411434234,0.6482 ± 0.0137,1.0785 ± 0.0548,1.5142 ± 0.3785,2.6518 ± 0.685,0.6594 ± 0.0088,1.0248 ± 0.0731,0.8902 ± 0.0437,1.1129 ± 0.1083,0.07046 ± 0.00048,2.7e+09 (2%)
BPI20PrepaidTravelCosts,gemma-2-2b,5e-05,8,10,64.0,128.0,2304,2304,sum,5.0,2697604642.0,83262754.0,2.6730113040204984,0.019809653561617267,1.9211633972786046,0.012120006830153896,0.6742178217821783,0.023215826720845396,0.8817651852333901,0.05949972074381543,1.199307744875993,0.11196547060689828,1.3889660756706013,0.19373163074853583,0.6909702970297029,0.014186152987150712,0.8470020443944648,0.04212501635573045,1.0138090913791469,0.11211972928523443,1.0743805391764876,0.06342561935922937,0.6742 ± 0.0232,0.8818 ± 0.0595,1.1993 ± 0.112,1.389 ± 0.1937,0.691 ± 0.0142,0.847 ± 0.0421,1.0138 ± 0.1121,1.0744 ± 0.0634,0.07296 ± 0.00069,2.7e+09 (3%)
BPI20PrepaidTravelCosts,gemma-2-2b,5e-05,8,10,128.0,256.0,2304,2304,sum,5.0,2780671522.0,166329634.0,2.6384645541426455,0.02177638049092512,1.9308689736786762,0.024408008042072535,0.6345346534653465,0.011629849806801975,1.0651253583077158,0.06649534786118935,1.2269485866527745,0.35814138572210813,1.2068652329397673,0.21500713464626794,0.6705742574257426,0.01584999776572885,0.8987680300910874,0.06813471241771597,0.8939360413692967,0.02947205540889934,1.039179659815118,0.023320111257916193,0.6345 ± 0.0116,1.0651 ± 0.0665,1.2269 ± 0.3581,1.2069 ± 0.215,0.6706 ± 0.0158,0.8988 ± 0.0681,0.8939 ± 0.0295,1.0392 ± 0.0233,0.07780 ± 0.00045,2.8e+09 (6%)
BPI20PrepaidTravelCosts,gemma-2-2b,5e-05,8,10,256.0,512.0,2304,2304,sum,5.0,2946805282.0,332463394.0,2.6157005282454877,0.038915904937215785,1.928773698977195,0.030344907097973408,0.616,0.023535800985865576,1.1273842065357926,0.10969261832005675,1.2338594445332443,0.49730549590917933,1.234573635290165,0.32432389765042186,0.6671683168316832,0.023500370736698552,1.0157718698010587,0.027030608309569982,0.8568789121892191,0.01986041506273398,1.0157973462661896,0.0231951401936932,0.616 ± 0.0235,1.1274 ± 0.1097,1.2339 ± 0.4973,1.2346 ± 0.3243,0.6672 ± 0.0235,1.0158 ± 0.027,0.8569 ± 0.0199,1.0158 ± 0.0232,0.13210 ± 0.01036,2.9e+09 (11%)
