log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,total_params,trainable_params,mt_score_mean,mt_score_std,mt_score_2task_mean,mt_score_2task_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,selection_score,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),Setting,lora_alpha,r,few_shot_k
BPI12,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,,sum,0.1,5.0,162246173.0,37806365.0,1.8993922898049458,0.06391524247328943,1.8258215268794138,0.021122934126954134,0.06597440663425794,0.043544301047509476,3.7201856315357538,0.3175777950129472,2.3615282105758792,0.6155198505475868,1.885894129507727,0.3612615736968145,0.11639977123248499,0.04381486194319483,3.211081461896888,0.09629752183710642,1.4217384041872643,0.2946943209792486,1.5557268120806524,0.02184607102705686,,BPI12,GPT2,0.066 ± 0.0435,3.7202 ± 0.3176,2.3615 ± 0.6155,1.8859 ± 0.3613,0.1164 ± 0.0438,3.2111 ± 0.0963,1.4217 ± 0.2947,1.5557 ± 0.0218,0.01476 ± 0.00008,FewShot-LoRA,512.0,256.0,8.0
BPI12,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,124497437.0,57629.0,2.3827295610306622,0.0092737157011593,1.8471302614273732,0.0070636864883174,0.4802973977695167,0.0131496668823262,1.57992085186045,0.066739809326186,2.4275920222639344,0.1278036952514948,1.4812431113531588,0.020272577292676,0.4837360594795538,0.0198890352263495,1.5796503365840917,0.0667387950336993,2.267713974537625,0.083104802588766,1.479086113336859,0.0193994526236171,,BPI12,GPT2,0.4803 ± 0.0131,1.5799 ± 0.0667,2.4276 ± 0.1278,1.4812 ± 0.0203,0.4837 ± 0.0199,1.5797 ± 0.0667,2.2677 ± 0.0831,1.4791 ± 0.0194,0.05725 ± 0.00027,Freezing,,,
BPI12,gpt2,8.0,768.0,10.0,"-1,-2",5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,124497437.0,14233373.0,2.612647854894261,0.029200300856093,1.8380083493051005,0.0051460458060066,0.6946561338289963,0.0256322842651066,0.9060693642634272,0.0569693254980638,2.6128573443505445,0.1034529369072963,1.4620449893191938,0.0251316829815375,0.695446096654275,0.0241687158114039,0.9034407489515216,0.0581525116359433,2.025975915056877,0.1605985759556995,1.4404472666603985,0.0239154444244296,,BPI12,GPT2,0.6947 ± 0.0256,0.9061 ± 0.057,2.6129 ± 0.1035,1.462 ± 0.0251,0.6954 ± 0.0242,0.9034 ± 0.0582,2.026 ± 0.1606,1.4404 ± 0.0239,0.06356 ± 0.00019,"Freezing-[-1, -2]",,,
BPI12,gpt2,8.0,768.0,10.0,-1,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,124497437.0,7145501.0,2.618055297893534,0.013185069938322,1.84733409213402,0.0049491665124526,0.6911424077780955,0.0075248732667222,0.9257735884714576,0.0390124938006678,2.4571220815839943,0.0836251105796718,1.4513328267570718,0.0207205174268102,0.6911424077780955,0.0075248732667222,0.9257735884714576,0.0390124938006678,2.0822411611251703,0.1661265335666982,1.4287632336685168,0.0158226227904163,,BPI12,GPT2,0.6911 ± 0.0075,0.9258 ± 0.039,2.4571 ± 0.0836,1.4513 ± 0.0207,0.6911 ± 0.0075,0.9258 ± 0.039,2.0822 ± 0.1661,1.4288 ± 0.0158,0.06041 ± 0.00019,Freezing-[-1],,,
BPI12,gpt2,8.0,768.0,10.0,"0,1",5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,124497437.0,14233373.0,2.676476276602448,0.0333897470316184,1.850847054410187,0.0037110194910982,0.7403810408921933,0.0289172084780896,0.7457845177945663,0.0580691538315587,2.446636240944392,0.0754003138852392,1.4038845153451516,0.0141130011686818,0.7568058335716329,0.0197110668102254,0.7256468525742816,0.0444725554984653,2.107533438847582,0.1452454550769075,1.3891495482439198,0.0151900193638667,,BPI12,GPT2,0.7404 ± 0.0289,0.7458 ± 0.0581,2.4466 ± 0.0754,1.4039 ± 0.0141,0.7568 ± 0.0197,0.7256 ± 0.0445,2.1075 ± 0.1452,1.3891 ± 0.0152,0.06336 ± 0.00018,"Freezing-[0, 1]",,,
BPI12,gpt2,8.0,768.0,10.0,0,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,124497437.0,7145501.0,2.655719289291602,0.0222002007553095,1.836380074353852,0.0064298034451907,0.7347404918501572,0.0249770180586732,0.7977233848999253,0.0579014170490949,2.6894665076485778,0.1326125802350443,1.4193858905149022,0.0202411232802527,0.7502073205604805,0.0220323663762913,0.7598997201669342,0.0376322028009933,1.9854313698424413,0.0863005344939812,1.3997540624190687,0.0164701029992897,,BPI12,GPT2,0.7347 ± 0.025,0.7977 ± 0.0579,2.6895 ± 0.1326,1.4194 ± 0.0202,0.7502 ± 0.022,0.7599 ± 0.0376,1.9854 ± 0.0863,1.3998 ± 0.0165,0.06041 ± 0.00031,Freezing-[0],,,
BPI12,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,,sum,0.1,10.0,162246173.0,37806365.0,2.5535999381974124,0.11252842171041418,1.8350104560615406,0.011142927484395016,0.6443934086359737,0.09381465176672335,1.014415274180785,0.42427781010302407,2.629028867580051,0.13247438197855804,1.4960278378241965,0.06627259870983845,0.7503449385187303,0.016701405549301336,0.7673812015728334,0.03491268132564694,2.3600526796785894,0.05295022347434414,1.4249106991337555,0.03946704575760086,,BPI12,GPT2,0.6444 ± 0.0938,1.0144 ± 0.4243,2.629 ± 0.1325,1.496 ± 0.0663,0.7503 ± 0.0167,0.7674 ± 0.0349,2.3601 ± 0.053,1.4249 ± 0.0395,0.13659 ± 0.07217,LoRA,512.0,256.0,
BPI12,gpt2,8.0,768.0,0.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,124497437.0,57629.0,1.7845693429788765,0.2519242118247418,1.740539292197307,0.2369001208427226,0.0394838432942522,0.0327737620777065,4.134210438028825,0.5134518505279245,3.704886843459316,4.374521873500696,2.0566733185004806,1.0724851844727787,0.0394838432942522,0.0327737620777065,4.134210438028825,0.5134518505279245,3.704886843459316,4.374521873500696,2.0566733185004806,1.0724851844727787,,BPI12,GPT2,0.0395 ± 0.0328,4.1342 ± 0.5135,3.7049 ± 4.3745,2.0567 ± 1.0725,0.0395 ± 0.0328,4.1342 ± 0.5135,3.7049 ± 4.3745,2.0567 ± 1.0725,0.00102 ± 0.00003,ZeroShot,,,
BPI12,gemma-2-2b,8.0,2304.0,10.0,,5.0,2304.0,5e-05,1.0,lstm,sum,0.1,5.0,2614514717.0,414749.0,1.968144721385736,0.0460466176678297,1.8790522295317744,0.0140387126881737,0.0798934801258221,0.0341461127339956,3.6757339778067832,0.221671187182934,1.7119814361862395,0.2359572812644013,1.6090494661030543,0.0567542751059967,0.0876394052044609,0.0281370899906423,3.480285181970572,0.1925825523158013,1.3363434743601694,0.1229558129641344,1.5518665427241387,0.0225744844152423,,BPI12,Gemma-2-2B,0.0799 ± 0.0341,3.6757 ± 0.2217,1.712 ± 0.236,1.609 ± 0.0568,0.0876 ± 0.0281,3.4803 ± 0.1926,1.3363 ± 0.123,1.5519 ± 0.0226,0.11437 ± 0.00098,FewShot-Freezing,,,8.0
BPI12,gemma-2-2b,8.0,2304.0,10.0,,5.0,2304.0,5e-05,1.0,,sum,0.1,5.0,2946782237.0,332440349.0,1.8068147734084516,0.2279145957131494,1.7230715779648524,0.20859048012756692,0.07509651129539605,0.04960301252310457,4.154940436109325,0.8314469531789741,3.524664434861985,2.3271417901237275,2.501980295490174,1.330337391912861,0.09532098941950243,0.049637782694358874,3.1654256537058094,0.2168727443005767,1.4306587910393085,0.23711611365816032,1.6081865264519475,0.06770103912692922,,BPI12,Gemma-2-2B,0.0751 ± 0.0496,4.1549 ± 0.8314,3.5247 ± 2.3271,2.502 ± 1.3303,0.0953 ± 0.0496,3.1654 ± 0.2169,1.4307 ± 0.2371,1.6082 ± 0.0677,0.14829 ± 0.00058,FewShot-LoRA,512.0,256.0,8.0
