log,Backbone_pretty,Mode,NA Acc.,RT MSE,NT MSE,Runtime (h),backbone,Setting,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,runtime_h_mean,runtime_h_std
BPI12,GPT-Neo-1.3B,FS,0.0364 ± 0.0195,3.1797 ± 2.6166,1.8453 ± 0.3140,0.07842 ± 0.00021,gptneo-1b3,FewShot-LoRA,0.03636331140977981,0.019546651062195566,3.1796902733611265,2.616622077157002,1.845259083630991,0.3139959502182072,0.07842247804744444,0.0002064098481446987
BPI12,GPT-Neo-1.3B,LoRA,0.7152 ± 0.0271,2.7801 ± 0.1271,1.6127 ± 0.0555,0.45739 ± 0.00169,gptneo-1b3,LoRA,0.7152058907635116,0.027132206385382652,2.7800676873946215,0.12711833089401256,1.6126714798941617,0.05553991643131615,0.4573857313901389,0.0016921463891122455
BPI12,GPT-Neo-1.3B,ZS,0.0307 ± 0.0436,4.0360 ± 1.8567,2.9318 ± 1.1786,0.00672 ± 0.00002,gptneo-1b3,ZeroShot,0.03071561338289963,0.04363921419448303,4.035981562992727,1.856745159776883,2.9317647228572996,1.1785887993230717,0.006721687153555556,2.4297823440058816e-05
BPI12,GPT2,FS,0.0660 ± 0.0435,2.3615 ± 0.6155,1.8859 ± 0.3613,0.01476 ± 0.00008,gpt2,FewShot-LoRA,0.06597440663425794,0.043544301047509476,2.3615282105758792,0.6155198505475868,1.885894129507727,0.36126157369681444,0.014763781843999998,8.40018147755609e-05
BPI12,GPT2,LoRA,0.6444 ± 0.0938,2.6290 ± 0.1325,1.4960 ± 0.0663,0.13659 ± 0.07217,gpt2,LoRA,0.6443934086359737,0.09381465176672335,2.629028867580051,0.13247438197855807,1.4960278378241965,0.06627259870983843,0.13658502006355555,0.07217130325107249
BPI12,GPT2,ZS,0.0395 ± 0.0328,3.7049 ± 4.3745,2.0567 ± 1.0725,0.00102 ± 0.00003,gpt2,ZeroShot,0.03948384329425222,0.032773762077706554,3.704886843459316,4.374521873500696,2.0566733185004806,1.0724851844727787,0.0010230293046111112,3.328171620204321e-05
BPI12,Gemma-2-2B,FS,0.0751 ± 0.0496,3.5247 ± 2.3271,2.5020 ± 1.3303,0.14829 ± 0.00058,gemma-2-2b,FewShot-LoRA,0.07509651129539605,0.049603012523104575,3.524664434861985,2.327141790123728,2.501980295490174,1.3303373919128607,0.14828842395577777,0.0005827831726629962
BPI12,Gemma-2-2B,LoRA,0.6354 ± 0.0489,2.3381 ± 0.2469,1.4699 ± 0.0882,0.94224 ± 0.01156,gemma-2-2b,LoRA,0.6354226241540368,0.04892758831565206,2.338086739936037,0.24694887608522606,1.4699259076365372,0.08815678554543792,0.9422378052722686,0.0115647293225989
BPI12,Gemma-2-2B,ZS,0.0298 ± 0.0184,4.3306 ± 3.2487,3.6357 ± 2.5140,0.01072 ± 0.00068,gemma-2-2b,ZeroShot,0.02976122390620532,0.0183841943387687,4.330644080803877,3.248711257342971,3.6357092122776633,2.514010421132074,0.010716379135777778,0.0006837790234552307
BPI12,Llama3.2-1B,FS,0.1017 ± 0.0843,2.8281 ± 0.9430,1.8239 ± 0.2885,0.07429 ± 0.00115,llama32-1b,FewShot-LoRA,0.10169073491564198,0.0842811112269838,2.8281327296493157,0.9429659524717778,1.8239467367403335,0.2885410382323597,0.0742877923833889,0.001150191582058138
