log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,total_params,trainable_params,mt_score_mean,mt_score_std,mt_score_2task_mean,mt_score_2task_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,selection_score,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h)
BPI20PrepaidTravelCosts,saprpt,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,25.0,,,2.7850603969040946,0.013990708089900883,1.945716101687116,0.015157808918524737,0.7526799999999999,0.008042698552103027,,,1.0410279748091724,0.05527588585807303,1.0861797414620402,0.19827290432823416,,,,,,,,,2.7850603969040946,BPI20PTC,SAP-RPT,0.7527 ± 0.008,nan ± nan,1.041 ± 0.0553,1.0862 ± 0.1983,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.00255 ± 0.00099
BPI20PrepaidTravelCosts,tabpfn,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,,,2.6745012351287087,0.020678445503530526,1.9343821822303873,0.018351752901835106,0.6637000000000001,0.012101652779682642,,,1.1278120679912829,0.07163832768988018,1.1918667024345253,0.2369469344013988,,,,,,,,,2.6745012351287087,BPI20PTC,TabPFN,0.6637 ± 0.0121,nan ± nan,1.1278 ± 0.0716,1.1919 ± 0.2369,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.01156 ± 0.00005
BPI20PrepaidTravelCosts,tabpfn3,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,10.0,,,2.667577815707104,0.015671638330174084,1.9449504663780945,0.015892684292936693,0.6480143564356436,0.009943895060349029,1.4698919511549544,,1.0129802865751916,0.0695494630013502,1.123965894164948,0.20392393142986728,0.6356435643564357,,1.4698919511549544,,1.1201123498217895,,1.1578043739394386,,2.667577815707104,BPI20PTC,TabPFN-3,0.648 ± 0.0099,1.4699 ± nan,1.013 ± 0.0695,1.124 ± 0.2039,0.6356 ± nan,1.4699 ± nan,1.1201 ± nan,1.1578 ± nan,0.00980 ± 0.00152
BPI20PrepaidTravelCosts,transformer,32.0,128.0,10.0,,5.0,128.0,0.0005,2.0,lstm,concat,0.1,5.0,535778.0,535778.0,2.8042584862386484,0.010288844923609493,1.9321078481783267,0.007989906497870958,0.7820990099009901,0.006139571946951594,0.6682946524667268,0.011753415596514993,1.118715221744953,0.08654131443033679,1.2370345630079214,0.05373069788766485,0.7993663366336634,0.010547598686672339,0.6526530796419275,0.017362788197660354,0.9540593314973436,0.0333541077009263,1.0688097460057475,0.011491131506660058,2.8042584862386484,BPI20PTC,Transformer,0.7821 ± 0.0061,0.6683 ± 0.0118,1.1187 ± 0.0865,1.237 ± 0.0537,0.7994 ± 0.0105,0.6527 ± 0.0174,0.9541 ± 0.0334,1.0688 ± 0.0115,0.00162 ± 0.00003
BPI20RequestForPayment,chronos2,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,15.0,,,,,1.5401094458168936,0.025662619224463105,,,,,4.372305783926032,0.3839925642315072,4.664563442436657,0.23061710969471014,,,,,,,,,1.5401094458168936,BPI20RfP,Chronos-2,nan ± nan,nan ± nan,4.3723 ± 0.384,4.6646 ± 0.2306,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.00223 ± 0.00004
BPI20RequestForPayment,rnn,32.0,32.0,25.0,,5.0,512.0,0.0001,1.0,lstm,sum,0.01,5.0,1133077.0,1133077.0,2.965104718180465,0.02682033626862147,1.9863273979397302,0.00136507478061062,0.8777162334895612,0.02336089217144357,0.367771171680348,0.03867742367836709,0.6826249752307444,0.021297305249424248,0.7503616593876543,0.00877712390478211,0.886038914926857,0.011359625510558073,0.36466062145127504,0.037572515128594025,0.6794998904280899,0.02188342379716791,0.7443703159624296,0.007243248804049588,2.965104718180465,BPI20RfP,RNN,0.8777 ± 0.0234,0.3678 ± 0.0387,0.6826 ± 0.0213,0.7504 ± 0.0088,0.886 ± 0.0114,0.3647 ± 0.0376,0.6795 ± 0.0219,0.7444 ± 0.0072,0.00952 ± 0.00008
BPI20RequestForPayment,saprpt,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,25.0,,,2.819959303447486,0.0130665698313281,1.9911419388608536,0.004764110845016151,0.74324,0.0087227193771973,,,0.6382718875755995,0.02324947290168134,0.7122342448868538,0.07018353976261713,,,,,,,,,2.819959303447486,BPI20RfP,SAP-RPT,0.7432 ± 0.0087,nan ± nan,0.6383 ± 0.0232,0.7122 ± 0.0702,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.00265 ± 0.00104
BPI20RequestForPayment,tabpfn,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,,,2.816106916275083,0.013588130860673736,1.9865535586570906,0.004788895603628696,0.7439,0.00876356092008266,,,0.7148282473720393,0.03403311261344792,0.7175835938034503,0.07187603491416303,,,,,,,,,2.816106916275083,BPI20RfP,TabPFN,0.7439 ± 0.0088,nan ± nan,0.7148 ± 0.034,0.7176 ± 0.0719,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.03380 ± 0.00020
BPI20RequestForPayment,tabpfn3,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,,,2.806404549512872,0.01136898711308016,1.9905674256611139,0.004874866635357896,0.7315999999999999,0.006721235005562603,,,0.6602445748013098,0.028182929789007653,0.701709112573401,0.07345844488065283,,,,,,,,,2.806404549512872,BPI20RfP,TabPFN-3,0.7316 ± 0.0067,nan ± nan,0.6602 ± 0.0282,0.7017 ± 0.0735,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.02252 ± 0.00002
BPI20RequestForPayment,transformer,32.0,128.0,10.0,,5.0,128.0,0.001,2.0,lstm,sum,0.1,5.0,535189.0,535189.0,2.984950095067422,0.0018427159359411846,1.9883393887006178,0.0008448861521020539,0.8937082800738532,0.0013193835151249756,0.271948819525488,0.0012299376767435886,0.6571291461517113,0.008995956035355508,0.7407191007690257,0.009141314491964684,0.8954409884959524,0.0009809002499549556,0.26386187956628093,0.0011523303422050566,0.6437652630826963,0.0041830610869489655,0.7187182447175854,0.0036573477451596077,2.984950095067422,BPI20RfP,Transformer,0.8937 ± 0.0013,0.2719 ± 0.0012,0.6571 ± 0.009,0.7407 ± 0.0091,0.8954 ± 0.001,0.2639 ± 0.0012,0.6438 ± 0.0042,0.7187 ± 0.0037,0.00471 ± 0.00003
