log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,total_params,trainable_params,mt_score_mean,mt_score_std,mt_score_2task_mean,mt_score_2task_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,selection_score,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),Setting,lora_alpha,r,few_shot_k,# params (%trainable)
BPI20RequestForPayment,qwen25-05b,8.0,896.0,10.0,,5.0,896.0,5e-05,1.0,lstm,sum,0.1,5.0,494085653.0,96789.0,1.983385374176065,0.0321643513528958,1.88858017937087,0.0223487088781673,0.0850163329072574,0.0452317184700303,3.201171551446924,0.1646566729388335,1.6023924378030867,0.3394655676946294,1.5534807640252304,0.4291126155373704,0.0872319272830563,0.0453881777381039,3.201171551446924,0.1646566729388335,1.5880613432403248,0.3428389205420015,1.5322630635209928,0.4085670202259724,,BPI20RfP,Qwen2.5-0.5B,0.085 ± 0.0452,3.2012 ± 0.1647,1.6024 ± 0.3395,1.5535 ± 0.4291,0.0872 ± 0.0454,3.2012 ± 0.1647,1.5881 ± 0.3428,1.5323 ± 0.4086,0.01122 ± 0.00019,FewShot-Freezing,,,8.0,4.9e+08 (0%)
BPI20RequestForPayment,qwen25-05b,8.0,896.0,10.0,,5.0,896.0,5e-05,1.0,,sum,0.1,5.0,634856981.0,140824213.0,2.080644024408689,0.1835694820422514,1.9109576132588628,0.0749323384867187,0.1521658855276239,0.1301626479544423,2.818652355019096,0.3787089935125823,1.4890045770916849,1.1314858295537258,1.2932213543660431,0.4089390748654103,0.2403635847180798,0.0757207619822108,2.407483325812513,0.2022873726124195,0.9702134614166188,0.1458294752607488,0.9742671574301518,0.0152577286939585,,BPI20RfP,Qwen2.5-0.5B,0.1522 ± 0.1302,2.8187 ± 0.3787,1.489 ± 1.1315,1.2932 ± 0.4089,0.2404 ± 0.0757,2.4075 ± 0.2023,0.9702 ± 0.1458,0.9743 ± 0.0153,0.02009 ± 0.00025,FewShot-LoRA,512.0,256.0,8.0,6.3e+08 (22%)
BPI20RequestForPayment,qwen25-05b,8.0,896.0,10.0,,5.0,896.0,5e-05,1.0,lstm,sum,0.1,5.0,494085653.0,96789.0,2.9752709028656854,0.0042412623478297,1.9849002978609345,0.0029526615486287,0.8881124840221559,0.0020220529782944,0.3420197048032847,0.0274604743865729,0.7275328547181502,0.0257016529320124,0.7817731973580078,0.0316150802328394,0.8885669649197556,0.0024281754471221,0.3420197048032847,0.0274604743865729,0.7261302749163521,0.0257531823204492,0.7798331868629905,0.0318679021526052,,BPI20RfP,Qwen2.5-0.5B,0.8881 ± 0.002,0.342 ± 0.0275,0.7275 ± 0.0257,0.7818 ± 0.0316,0.8886 ± 0.0024,0.342 ± 0.0275,0.7261 ± 0.0258,0.7798 ± 0.0319,0.09912 ± 0.00081,Freezing,,,,4.9e+08 (0%)
BPI20RequestForPayment,qwen25-05b,8.0,896.0,10.0,"-1,-2",5.0,896.0,5e-05,1.0,lstm,sum,0.1,5.0,494085653.0,29917973.0,2.9542321994259297,0.0178804133313721,1.9731425573606776,0.0080091943219909,0.8797898025848602,0.0113396313953914,0.358595035123886,0.0758955654892355,0.8239320134933724,0.0794768721975365,0.8853413233616833,0.0610239990838512,0.890129243005255,0.0008674013057578,0.2889635217848394,0.0044411642519637,0.6932640434479683,0.0220978798543455,0.794386334589235,0.0297828039032404,,BPI20RfP,Qwen2.5-0.5B,0.8798 ± 0.0113,0.3586 ± 0.0759,0.8239 ± 0.0795,0.8853 ± 0.061,0.8901 ± 0.0009,0.289 ± 0.0044,0.6933 ± 0.0221,0.7944 ± 0.0298,0.10690 ± 0.00258,"Freezing-[-1, -2]",,,,4.9e+08 (6%)
BPI20RequestForPayment,qwen25-05b,8.0,896.0,10.0,-1,5.0,896.0,5e-05,1.0,lstm,sum,0.1,5.0,494085653.0,15007381.0,2.946332954030136,0.0183286962061701,1.9568809426269056,0.017920835373005,0.8872887373952565,0.0022061971368514,0.3095180643737494,0.0140936340792819,0.9260174260967716,0.1205742755231434,1.0567316626879388,0.1845356362327552,0.8902144581735548,0.000540816155792,0.2884059115069746,0.0104880441994145,0.7385623493852846,0.0435346857117028,0.8009999484403654,0.0190985937686772,,BPI20RfP,Qwen2.5-0.5B,0.8873 ± 0.0022,0.3095 ± 0.0141,0.926 ± 0.1206,1.0567 ± 0.1845,0.8902 ± 0.0005,0.2884 ± 0.0105,0.7386 ± 0.0435,0.801 ± 0.0191,0.10211 ± 0.00092,Freezing-[-1],,,,4.9e+08 (3%)
BPI20RequestForPayment,qwen25-05b,8.0,896.0,10.0,"0,1",5.0,896.0,5e-05,1.0,lstm,sum,0.1,5.0,494085653.0,29917973.0,2.958008640006626,0.0129745609548213,1.9691901414320296,0.0082360299882386,0.8867206362732567,0.0045830393896974,0.3074999251025015,0.0184253090835506,0.8632481898050587,0.0806772730908089,0.913928669221258,0.0613258459930421,0.8912654452492544,0.0010072786948727,0.2784722590409224,0.0029787646725094,0.7096896449911071,0.0242703394337345,0.7726629739389418,0.0144868404307868,,BPI20RfP,Qwen2.5-0.5B,0.8867 ± 0.0046,0.3075 ± 0.0184,0.8632 ± 0.0807,0.9139 ± 0.0613,0.8913 ± 0.001,0.2785 ± 0.003,0.7097 ± 0.0243,0.7727 ± 0.0145,0.10529 ± 0.00025,"Freezing-[0, 1]",,,,4.9e+08 (6%)
BPI20RequestForPayment,qwen25-05b,8.0,896.0,10.0,0,5.0,896.0,5e-05,1.0,lstm,sum,0.1,5.0,494085653.0,15007381.0,2.964239006767131,0.0127091054631142,1.9721895927664967,0.0102965370160242,0.889617951995455,0.0042765884977388,0.3063832060821082,0.0165058508670351,0.8316541245911138,0.0880535609854601,0.8938175506440096,0.0885654844413667,0.8918051413151542,0.0018852485165226,0.2870784166404053,0.0066194442928328,0.7310341814975985,0.0298840770872717,0.7844234480503658,0.0264227486670969,,BPI20RfP,Qwen2.5-0.5B,0.8896 ± 0.0043,0.3064 ± 0.0165,0.8317 ± 0.0881,0.8938 ± 0.0886,0.8918 ± 0.0019,0.2871 ± 0.0066,0.731 ± 0.0299,0.7844 ± 0.0264,0.10228 ± 0.00082,Freezing-[0],,,,4.9e+08 (3%)
BPI20RequestForPayment,qwen25-05b,8.0,896.0,10.0,,5.0,896.0,5e-05,1.0,,sum,0.1,10.0,634856981.0,140824213.0,2.981160877344179,0.0054916227665077,1.991138704395177,0.0011512260654106,0.8878000284050561,0.0042481151870803,0.2661623828808298,0.0033222808310916,0.661901825826423,0.0129351121462911,0.7398731397542911,0.0169059620653225,0.8913790654736543,0.0003465985933385,0.2637100182885287,0.0011921033747296,0.6465461582982426,0.0042116530086657,0.7347527987644459,0.0075804043400303,,BPI20RfP,Qwen2.5-0.5B,0.8878 ± 0.0042,0.2662 ± 0.0033,0.6619 ± 0.0129,0.7399 ± 0.0169,0.8914 ± 0.0003,0.2637 ± 0.0012,0.6465 ± 0.0042,0.7348 ± 0.0076,0.20827 ± 0.00189,LoRA,512.0,256.0,,6.3e+08 (22%)
BPI20RequestForPayment,qwen25-05b,8.0,896.0,0.0,,5.0,896.0,5e-05,1.0,lstm,sum,0.1,5.0,494085653.0,96789.0,1.848084897558211,0.1286061080954297,1.7847652903361646,0.142516105904178,0.0567817071438716,0.0347673999512278,3.6503546146045545,0.1925334703877313,3.070027236006609,2.5990379218342805,1.912437003316772,0.6851847302038133,0.0567817071438716,0.0347673999512278,3.6503546146045545,0.1925334703877313,3.070027236006609,2.5990379218342805,1.912437003316772,0.6851847302038133,,BPI20RfP,Qwen2.5-0.5B,0.0568 ± 0.0348,3.6504 ± 0.1925,3.07 ± 2.599,1.9124 ± 0.6852,0.0568 ± 0.0348,3.6504 ± 0.1925,3.07 ± 2.599,1.9124 ± 0.6852,0.00109 ± 0.00003,ZeroShot,,,,4.9e+08 (0%)
