log,backbone,lr,batch_size,epochs,r,lora_alpha,embedding_size,hidden_size,strategy,n_runs,total_params,trainable_params,mt_score_mean,mt_score_std,mt_score_2task_mean,mt_score_2task_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),# params (%trainable)
BPI20RequestForPayment,gptneo-1b3,5e-05,8,10,16.0,32.0,2048,2048,sum,5.0,1318842389.0,3266581.0,2.9746187323719644,0.007485439555233762,1.9897280133349031,0.0006928726008896685,0.8831984093168584,0.006098493440115988,0.29888090993206434,0.01795371439625418,0.6757090867268329,0.009723256426440386,0.750279616171825,0.01700224730815189,0.8874307626757563,0.0034564996878825027,0.2913453691707655,0.01581860224480635,0.6664007364459174,0.0067700512451256524,0.7349371732661135,0.0055053463123657075,0.8832 ± 0.0061,0.2989 ± 0.018,0.6757 ± 0.0097,0.7503 ± 0.017,0.8874 ± 0.0035,0.2913 ± 0.0158,0.6664 ± 0.0068,0.7349 ± 0.0055,0.10299 ± 0.00034,1.3e+09 (0%)
BPI20RequestForPayment,gptneo-1b3,5e-05,8,10,32.0,64.0,2048,2048,sum,5.0,1321988117.0,6412309.0,2.9746020222278196,0.012135137837676814,1.9898063301150537,0.0007867274365970473,0.8831131941485584,0.010553921433409639,0.30373970484669244,0.03691546361338975,0.6791917565295243,0.010215809618415771,0.7458730071127,0.007077846694854999,0.8906689390711546,0.0016236912469283012,0.28220574371246876,0.009595488352348186,0.6617053849472612,0.004708909396706593,0.7378324772312362,0.009358654201916285,0.8831 ± 0.0106,0.3037 ± 0.0369,0.6792 ± 0.0102,0.7459 ± 0.0071,0.8907 ± 0.0016,0.2822 ± 0.0096,0.6617 ± 0.0047,0.7378 ± 0.0094,0.10359 ± 0.00047,1.3e+09 (0%)
BPI20RequestForPayment,gptneo-1b3,5e-05,8,10,64.0,128.0,2048,2048,sum,5.0,1328279573.0,12703765.0,2.9731738840551825,0.018274171786488054,1.9911022971055465,0.0012623237318152426,0.8806703593239597,0.016111389385790206,0.2837712631393539,0.0038401586827931113,0.6639999954457684,0.01113666600902621,0.7385721807231993,0.011373579659136808,0.8905837239028547,0.0012118011082346892,0.28065708212140705,0.005282746758838263,0.6563820205041587,0.007904699809080708,0.7343173255874359,0.00985975336785817,0.8807 ± 0.0161,0.2838 ± 0.0038,0.664 ± 0.0111,0.7386 ± 0.0114,0.8906 ± 0.0012,0.2807 ± 0.0053,0.6564 ± 0.0079,0.7343 ± 0.0099,0.10541 ± 0.00063,1.3e+09 (1%)
BPI20RequestForPayment,gptneo-1b3,5e-05,8,10,128.0,256.0,2048,2048,sum,5.0,1340862485.0,25286677.0,2.9805902892836706,0.0018783659850768791,1.990092981713192,0.0008001260768646479,0.888226104246556,0.0016348337499248983,0.29234825614297477,0.01096647244584893,0.6715460336609602,0.0035961029799460955,0.7481197370857767,0.01150739307873552,0.8904132935662549,0.00168824991530967,0.28668434504435963,0.006076387289922672,0.6554777747307153,0.007825160161077455,0.7430972214026845,0.009031061134550114,0.8882 ± 0.0016,0.2923 ± 0.011,0.6715 ± 0.0036,0.7481 ± 0.0115,0.8904 ± 0.0017,0.2867 ± 0.0061,0.6555 ± 0.0078,0.7431 ± 0.009,0.10794 ± 0.00057,1.3e+09 (2%)
BPI20RequestForPayment,gptneo-1b3,5e-05,8,10,256.0,512.0,2048,2048,sum,10.0,1366028309.0,50452501.0,2.961715704705725,0.02466892365838056,1.9886399999227033,0.002546403619837658,0.8726033233915637,0.021077028015876468,0.3005683815355685,0.026703664617636402,0.6833802576448376,0.022150643243662147,0.7609890326470277,0.022062564670864853,0.8911518250248545,0.0003082672081825645,0.26838044540530964,0.005175245143553114,0.6492576413289372,0.01059388300826349,0.7414387598309966,0.011885238909452086,0.8726 ± 0.0211,0.3006 ± 0.0267,0.6834 ± 0.0222,0.761 ± 0.0221,0.8912 ± 0.0003,0.2684 ± 0.0052,0.6493 ± 0.0106,0.7414 ± 0.0119,0.11910 ± 0.00698,1.4e+09 (4%)
