dataset,model,paradigm,group_col,group_value,n,accuracy,error_rate,n_cases
BPI17,transformer,sequence,relative_prefix_bucket,80-100%,441,0.8140589569160998,0.18594104308390025,429
BPI20PrepaidTravelCosts,gemma-2-2b,llm,relative_prefix_bucket,0-20%,321,0.14330218068535824,0.8566978193146417,274
BPI20PrepaidTravelCosts,gemma-2-2b,llm,relative_prefix_bucket,20-40%,418,0.7009569377990431,0.2990430622009569,331
BPI20PrepaidTravelCosts,gemma-2-2b,llm,relative_prefix_bucket,40-60%,355,0.28450704225352114,0.7154929577464788,293
BPI20PrepaidTravelCosts,gemma-2-2b,llm,relative_prefix_bucket,60-80%,428,0.7780373831775701,0.2219626168224299,339
BPI20PrepaidTravelCosts,gemma-2-2b,llm,relative_prefix_bucket,80-100%,478,0.9895397489539749,0.010460251046025104,364
BPI20PrepaidTravelCosts,llama32-1b,llm,relative_prefix_bucket,0-20%,321,0.4143302180685358,0.5856697819314642,274
BPI20PrepaidTravelCosts,llama32-1b,llm,relative_prefix_bucket,20-40%,418,0.4473684210526316,0.5526315789473684,331
BPI20PrepaidTravelCosts,llama32-1b,llm,relative_prefix_bucket,40-60%,355,0.4507042253521127,0.5492957746478873,293
BPI20PrepaidTravelCosts,llama32-1b,llm,relative_prefix_bucket,60-80%,428,0.7126168224299065,0.28738317757009346,339
BPI20PrepaidTravelCosts,llama32-1b,llm,relative_prefix_bucket,80-100%,478,0.9121338912133892,0.08786610878661083,364
BPI20PrepaidTravelCosts,rnn,sequence,relative_prefix_bucket,0-20%,321,0.3052959501557632,0.6947040498442367,274
BPI20PrepaidTravelCosts,rnn,sequence,relative_prefix_bucket,20-40%,418,0.7320574162679426,0.26794258373205737,331
BPI20PrepaidTravelCosts,rnn,sequence,relative_prefix_bucket,40-60%,355,0.8422535211267606,0.15774647887323945,293
BPI20PrepaidTravelCosts,rnn,sequence,relative_prefix_bucket,60-80%,428,0.9299065420560748,0.07009345794392519,339
BPI20PrepaidTravelCosts,rnn,sequence,relative_prefix_bucket,80-100%,478,0.9748953974895398,0.025104602510460206,364
BPI20PrepaidTravelCosts,saprpt,tabular_fm,relative_prefix_bucket,0-20%,321,0.6853582554517134,0.31464174454828664,274
BPI20PrepaidTravelCosts,saprpt,tabular_fm,relative_prefix_bucket,20-40%,418,0.7631578947368421,0.23684210526315785,331
BPI20PrepaidTravelCosts,saprpt,tabular_fm,relative_prefix_bucket,40-60%,355,0.4169014084507042,0.5830985915492958,293
BPI20PrepaidTravelCosts,saprpt,tabular_fm,relative_prefix_bucket,60-80%,428,0.7897196261682243,0.21028037383177567,339
BPI20PrepaidTravelCosts,saprpt,tabular_fm,relative_prefix_bucket,80-100%,478,0.9644351464435147,0.03556485355648531,364
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,relative_prefix_bucket,0-20%,321,0.2087227414330218,0.7912772585669782,274
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,relative_prefix_bucket,20-40%,418,0.715311004784689,0.284688995215311,331
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,relative_prefix_bucket,40-60%,355,0.3154929577464789,0.6845070422535211,293
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,relative_prefix_bucket,60-80%,428,0.7850467289719626,0.2149532710280374,339
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,relative_prefix_bucket,80-100%,478,0.9748953974895398,0.025104602510460206,364
BPI20PrepaidTravelCosts,transformer,sequence,relative_prefix_bucket,0-20%,321,0.38317757009345793,0.6168224299065421,274
BPI20PrepaidTravelCosts,transformer,sequence,relative_prefix_bucket,20-40%,418,0.7248803827751196,0.27511961722488043,331
BPI20PrepaidTravelCosts,transformer,sequence,relative_prefix_bucket,40-60%,355,0.819718309859155,0.18028169014084505,293
BPI20PrepaidTravelCosts,transformer,sequence,relative_prefix_bucket,60-80%,428,0.8855140186915887,0.11448598130841126,339
BPI20PrepaidTravelCosts,transformer,sequence,relative_prefix_bucket,80-100%,478,0.9686192468619247,0.03138075313807531,364
BPI20RequestForPayment,gemma-2-2b,llm,relative_prefix_bucket,0-20%,347,0.930835734870317,0.06916426512968299,346
BPI20RequestForPayment,gemma-2-2b,llm,relative_prefix_bucket,20-40%,406,0.5344827586206896,0.4655172413793104,394
BPI20RequestForPayment,gemma-2-2b,llm,relative_prefix_bucket,40-60%,360,0.9722222222222222,0.02777777777777779,358
BPI20RequestForPayment,gemma-2-2b,llm,relative_prefix_bucket,60-80%,382,0.9450261780104712,0.054973821989528826,374
BPI20RequestForPayment,gemma-2-2b,llm,relative_prefix_bucket,80-100%,505,0.9821782178217822,0.017821782178217838,465
BPI20RequestForPayment,llama32-1b,llm,relative_prefix_bucket,0-20%,347,0.9279538904899135,0.0720461095100865,346
BPI20RequestForPayment,llama32-1b,llm,relative_prefix_bucket,20-40%,406,0.41379310344827586,0.5862068965517242,394
BPI20RequestForPayment,llama32-1b,llm,relative_prefix_bucket,40-60%,360,0.975,0.025000000000000022,358
BPI20RequestForPayment,llama32-1b,llm,relative_prefix_bucket,60-80%,382,0.93717277486911,0.06282722513089001,374
BPI20RequestForPayment,llama32-1b,llm,relative_prefix_bucket,80-100%,505,1.0,0.0,465
BPI20RequestForPayment,rnn,sequence,relative_prefix_bucket,0-20%,347,0.9250720461095101,0.0749279538904899,346
BPI20RequestForPayment,rnn,sequence,relative_prefix_bucket,20-40%,406,0.5960591133004927,0.40394088669950734,394
BPI20RequestForPayment,rnn,sequence,relative_prefix_bucket,40-60%,360,0.9722222222222222,0.02777777777777779,358
BPI20RequestForPayment,rnn,sequence,relative_prefix_bucket,60-80%,382,0.9790575916230366,0.020942408376963373,374
BPI20RequestForPayment,rnn,sequence,relative_prefix_bucket,80-100%,505,0.9861386138613861,0.013861386138613874,465
BPI20RequestForPayment,saprpt,tabular_fm,relative_prefix_bucket,0-20%,347,0.08069164265129683,0.9193083573487032,346
BPI20RequestForPayment,saprpt,tabular_fm,relative_prefix_bucket,20-40%,406,0.5886699507389163,0.41133004926108374,394
BPI20RequestForPayment,saprpt,tabular_fm,relative_prefix_bucket,40-60%,360,0.9638888888888889,0.036111111111111094,358
BPI20RequestForPayment,saprpt,tabular_fm,relative_prefix_bucket,60-80%,382,0.9842931937172775,0.015706806282722474,374
BPI20RequestForPayment,saprpt,tabular_fm,relative_prefix_bucket,80-100%,505,0.9841584158415841,0.015841584158415856,465
BPI20RequestForPayment,tabpfn3,tabular_fm,relative_prefix_bucket,0-20%,347,0.06051873198847262,0.9394812680115274,346
BPI20RequestForPayment,tabpfn3,tabular_fm,relative_prefix_bucket,20-40%,406,0.625615763546798,0.37438423645320196,394
BPI20RequestForPayment,tabpfn3,tabular_fm,relative_prefix_bucket,40-60%,360,0.9027777777777778,0.09722222222222221,358
BPI20RequestForPayment,tabpfn3,tabular_fm,relative_prefix_bucket,60-80%,382,0.981675392670157,0.01832460732984298,374
BPI20RequestForPayment,tabpfn3,tabular_fm,relative_prefix_bucket,80-100%,505,0.9504950495049505,0.04950495049504955,465
BPI20RequestForPayment,transformer,sequence,relative_prefix_bucket,0-20%,347,0.9279538904899135,0.0720461095100865,346
BPI20RequestForPayment,transformer,sequence,relative_prefix_bucket,20-40%,406,0.5985221674876847,0.4014778325123153,394
BPI20RequestForPayment,transformer,sequence,relative_prefix_bucket,40-60%,360,0.975,0.025000000000000022,358
BPI20RequestForPayment,transformer,sequence,relative_prefix_bucket,60-80%,382,0.9842931937172775,0.015706806282722474,374
BPI20RequestForPayment,transformer,sequence,relative_prefix_bucket,80-100%,505,0.9841584158415841,0.015841584158415856,465
BPI20TravelPermitData,gemma-2-2b,llm,relative_prefix_bucket,0-20%,322,0.40062111801242234,0.5993788819875776,309
BPI20TravelPermitData,gemma-2-2b,llm,relative_prefix_bucket,20-40%,403,0.6873449131513648,0.3126550868486352,379
BPI20TravelPermitData,gemma-2-2b,llm,relative_prefix_bucket,40-60%,432,0.6342592592592593,0.3657407407407407,408
BPI20TravelPermitData,gemma-2-2b,llm,relative_prefix_bucket,60-80%,392,0.6505102040816326,0.3494897959183674,373
BPI20TravelPermitData,gemma-2-2b,llm,relative_prefix_bucket,80-100%,451,0.8536585365853658,0.14634146341463417,421
BPI20TravelPermitData,llama32-1b,llm,relative_prefix_bucket,0-20%,322,0.7049689440993789,0.29503105590062106,309
BPI20TravelPermitData,llama32-1b,llm,relative_prefix_bucket,20-40%,403,0.6972704714640199,0.3027295285359801,379
BPI20TravelPermitData,llama32-1b,llm,relative_prefix_bucket,40-60%,432,0.7083333333333334,0.29166666666666663,408
BPI20TravelPermitData,llama32-1b,llm,relative_prefix_bucket,60-80%,392,0.701530612244898,0.298469387755102,373
BPI20TravelPermitData,llama32-1b,llm,relative_prefix_bucket,80-100%,451,0.8536585365853658,0.14634146341463417,421
BPI20TravelPermitData,rnn,sequence,relative_prefix_bucket,0-20%,322,0.35093167701863354,0.6490683229813665,309
BPI20TravelPermitData,rnn,sequence,relative_prefix_bucket,20-40%,403,0.7617866004962779,0.2382133995037221,379
BPI20TravelPermitData,rnn,sequence,relative_prefix_bucket,40-60%,432,0.8078703703703703,0.19212962962962965,408
BPI20TravelPermitData,rnn,sequence,relative_prefix_bucket,60-80%,392,0.8239795918367347,0.17602040816326525,373
BPI20TravelPermitData,rnn,sequence,relative_prefix_bucket,80-100%,451,0.8647450110864745,0.1352549889135255,421
BPI20TravelPermitData,saprpt,tabular_fm,relative_prefix_bucket,0-20%,322,0.40062111801242234,0.5993788819875776,309
BPI20TravelPermitData,saprpt,tabular_fm,relative_prefix_bucket,20-40%,403,0.7096774193548387,0.29032258064516125,379
BPI20TravelPermitData,saprpt,tabular_fm,relative_prefix_bucket,40-60%,432,0.6620370370370371,0.3379629629629629,408
BPI20TravelPermitData,saprpt,tabular_fm,relative_prefix_bucket,60-80%,392,0.6760204081632653,0.32397959183673475,373
BPI20TravelPermitData,saprpt,tabular_fm,relative_prefix_bucket,80-100%,451,0.8558758314855875,0.14412416851441245,421
BPI20TravelPermitData,tabpfn3,tabular_fm,relative_prefix_bucket,0-20%,322,0.40372670807453415,0.5962732919254659,309
BPI20TravelPermitData,tabpfn3,tabular_fm,relative_prefix_bucket,20-40%,403,0.6575682382133995,0.3424317617866005,379
BPI20TravelPermitData,tabpfn3,tabular_fm,relative_prefix_bucket,40-60%,432,0.5185185185185185,0.4814814814814815,408
BPI20TravelPermitData,tabpfn3,tabular_fm,relative_prefix_bucket,60-80%,392,0.5688775510204082,0.43112244897959184,373
BPI20TravelPermitData,tabpfn3,tabular_fm,relative_prefix_bucket,80-100%,451,0.811529933481153,0.188470066518847,421
BPI20TravelPermitData,transformer,sequence,relative_prefix_bucket,0-20%,322,0.30745341614906835,0.6925465838509317,309
BPI20TravelPermitData,transformer,sequence,relative_prefix_bucket,20-40%,403,0.7444168734491315,0.25558312655086846,379
BPI20TravelPermitData,transformer,sequence,relative_prefix_bucket,40-60%,432,0.7847222222222222,0.2152777777777778,408
BPI20TravelPermitData,transformer,sequence,relative_prefix_bucket,60-80%,392,0.8418367346938775,0.15816326530612246,373
BPI20TravelPermitData,transformer,sequence,relative_prefix_bucket,80-100%,451,0.8470066518847007,0.1529933481152993,421
