dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases,group_value_label
BPI12,gemma-2-2b,llm,NT,activity_current,3,34,0.1326755703810383,0.030638068911301,0.1155060827732086,0.2813884511590004,-0.0646367758950766,34,A_ACCEPTED
BPI12,gemma-2-2b,llm,NT,activity_current,7,43,0.0684761464552477,0.0069756351255495,0.0653925538063049,0.1234189331531524,0.0153631003746806,43,A_DECLINED
BPI12,gemma-2-2b,llm,NT,activity_current,8,40,0.1615973498672246,0.0609579786276132,0.0911826640367508,0.4629985153675081,-0.1217680182307958,40,A_FINALIZED
BPI12,gemma-2-2b,llm,NT,activity_current,9,86,0.1510810874142619,0.0254418603871828,0.160241313278675,0.1948600802570581,0.1250665705477775,86,A_PARTLYSUBMITTED
BPI12,gemma-2-2b,llm,NT,activity_current,10,60,0.093009578436613,0.0163959330808595,0.0721752718091011,0.2195557877421379,-0.0098112724721431,60,A_PREACCEPTED
BPI12,gemma-2-2b,llm,NT,activity_current,12,91,0.1239997506714784,0.0213422935549699,0.1248051524162292,0.181959543377161,0.0675707146279759,91,A_SUBMITTED
BPI12,gemma-2-2b,llm,NT,activity_current,14,37,0.3188193951280335,0.1374391498733383,0.3071385622024536,0.5570054143667221,0.0218258608208113,37,O_CANCELLED
BPI12,gemma-2-2b,llm,NT,activity_current,15,61,0.1360405689662658,0.0393680699599009,0.0736138671636581,0.2947192527353763,-0.0510615245935308,60,O_CREATED
BPI12,gemma-2-2b,llm,NT,activity_current,17,48,0.1279407086937377,0.0321876381206373,0.0742297172546386,0.3338863819837571,0.0061234936583787,48,O_SELECTED
BPI12,gemma-2-2b,llm,NT,activity_current,18,57,0.1488181622535513,0.0407339728833112,0.1069181263446807,0.3671814113855361,0.0693308954829709,57,O_SENT
BPI12,gemma-2-2b,llm,NT,activity_current,20,117,0.1333244305708979,0.0428424181839262,0.0922764688730239,0.2773518107831479,-0.0174744971351236,110,W_Afhandelen leads
BPI12,gemma-2-2b,llm,NT,activity_current,22,469,0.7314261137669199,4.128990891410625,0.2351418912876397,1.0778752058744423,-0.3553438654776587,371,W_Completeren aanvraag
BPI12,gemma-2-2b,llm,NT,activity_current,23,162,0.2728721695825641,0.3417677355838877,0.1189882308244705,0.5289650037884712,-0.2216082977843873,118,W_Nabellen incomplete dossiers
BPI12,gemma-2-2b,llm,NT,activity_current,24,385,0.8739963602088694,2.7620985521713246,0.277343038469553,2.8135980039834987,-0.5000205656929341,311,W_Nabellen offertes
BPI12,gemma-2-2b,llm,NT,activity_current,25,171,0.174386803011753,0.0678133277373705,0.127977192401886,0.346425250172615,-0.138744303515475,145,W_Valideren aanvraag
BPI12,llama32-1b,llm,NT,activity_current,3,34,0.1178584484493031,0.0184849495647719,0.0989799499511718,0.2013392180204391,-0.1178584484493031,34,A_ACCEPTED
BPI12,llama32-1b,llm,NT,activity_current,7,43,0.1231004314193891,0.0276538591659224,0.0716760158538818,0.2979467265307903,0.0729812843681767,43,A_DECLINED
BPI12,llama32-1b,llm,NT,activity_current,8,40,0.0614983800798654,0.0064457513556598,0.040586918592453,0.1080761313438415,-0.0293540153652429,40,A_FINALIZED
BPI12,llama32-1b,llm,NT,activity_current,9,86,0.0794128196877102,0.0087386959776523,0.0912261828780174,0.1408515870571136,-0.0443399978238482,86,A_PARTLYSUBMITTED
BPI12,llama32-1b,llm,NT,activity_current,10,60,0.1194772678116957,0.0160300325284172,0.1076307445764541,0.1630285188555717,-0.1194772678116957,60,A_PREACCEPTED
BPI12,llama32-1b,llm,NT,activity_current,12,91,0.0435045286194308,0.0020589507295622,0.0424284934997558,0.0668080300092697,-0.0209590163859692,91,A_SUBMITTED
BPI12,llama32-1b,llm,NT,activity_current,14,37,0.2626367964454599,0.0963108001766838,0.2310837805271148,0.5028363078832626,-0.2597423787858035,37,O_CANCELLED
BPI12,llama32-1b,llm,NT,activity_current,15,61,0.0749960588138611,0.0146573458835792,0.0418983101844787,0.1651487797498703,-0.0441472772203508,60,O_CREATED
BPI12,llama32-1b,llm,NT,activity_current,17,48,0.1270216619595885,0.0297221730384534,0.0655504688620567,0.2969121843576432,-0.1155706883097688,48,O_SELECTED
BPI12,llama32-1b,llm,NT,activity_current,18,57,0.2992872702970839,0.1113497655819879,0.2885268926620483,0.4806314706802367,-0.2974864388244194,57,O_SENT
BPI12,llama32-1b,llm,NT,activity_current,20,117,0.1364151910902598,0.0412466683903907,0.1060676127672195,0.2203130304813385,-0.046815118059898,110,W_Afhandelen leads
BPI12,llama32-1b,llm,NT,activity_current,22,469,0.6775238654052,4.242707323752858,0.1746492572128772,0.9389193111099304,-0.537010919819993,371,W_Completeren aanvraag
BPI12,llama32-1b,llm,NT,activity_current,23,162,0.2139597949974331,0.303543763659972,0.0619846284389495,0.4553110346198082,-0.1614774883161356,118,W_Nabellen incomplete dossiers
