dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases
BPI17,llama32-1b,llm,RT,relative_prefix_bucket,40-60%,403,0.6607809023048831,0.6562200802435679,0.6366775035858154,1.1733235478401185,-0.28716623861222496,388
BPI17,llama32-1b,llm,RT,relative_prefix_bucket,60-80%,410,0.5591872747351484,0.6120697591739702,0.2856074571609497,1.3529563575983055,-0.3142482366367448,401
BPI17,llama32-1b,llm,RT,relative_prefix_bucket,80-100%,441,0.32950332716250974,0.23990937232705636,0.21391624212265015,0.9676102697849274,-0.060713859332003156,429
BPI17,rnn,sequence,RT,relative_prefix_bucket,0-20%,339,0.8670289291214517,1.116619421337755,0.7592199742794037,1.6672468751668927,-0.5306757614634667,326
BPI17,rnn,sequence,RT,relative_prefix_bucket,20-40%,407,0.7691418014505591,0.995006837838038,0.5822115540504456,1.613311839103699,-0.47579904668839307,401
BPI17,rnn,sequence,RT,relative_prefix_bucket,40-60%,403,0.6624815226116544,0.7382998931075122,0.48652511835098267,1.4404530167579652,-0.4272243631460586,388
BPI17,rnn,sequence,RT,relative_prefix_bucket,60-80%,410,0.5711533703614117,0.6384850258251655,0.3305220603942871,1.4615523964166643,-0.3239991737734072,401
BPI17,rnn,sequence,RT,relative_prefix_bucket,80-100%,441,0.32553722837395005,0.2722577393882091,0.1762164831161499,0.9446045160293579,-0.15801248726035869,429
BPI17,saprpt,tabular_fm,RT,relative_prefix_bucket,0-20%,339,1.2676159796596211,2.3437349912899714,1.2178568840026855,2.3575594902038572,-1.248253906630584,326
BPI17,saprpt,tabular_fm,RT,relative_prefix_bucket,20-40%,407,1.0942434868882929,1.8749613283348159,0.8737839311361313,2.224883842468262,-1.0779432743421715,401
BPI17,saprpt,tabular_fm,RT,relative_prefix_bucket,40-60%,403,0.9055875533707578,1.4605142212802231,0.6267993450164795,2.1744612216949464,-0.8848984365567574,388
BPI17,saprpt,tabular_fm,RT,relative_prefix_bucket,60-80%,410,0.6687834991323875,1.0699555842448578,0.2761540114879608,2.1307952642440795,-0.6176662219870018,401
BPI17,saprpt,tabular_fm,RT,relative_prefix_bucket,80-100%,441,0.3333733432742507,0.4509380710724612,0.08812761306762695,1.2832336723804474,-0.22550470564649555,429
BPI17,tabpfn3,tabular_fm,RT,relative_prefix_bucket,0-20%,339,1.63803552270415,3.454603532074725,1.554606556892395,2.8027367830276484,-1.6363961783565366,326
BPI17,tabpfn3,tabular_fm,RT,relative_prefix_bucket,20-40%,407,1.3796502044200236,2.6239186954110787,1.146008387207985,2.6032242059707644,-1.3789274396690674,401
BPI17,tabpfn3,tabular_fm,RT,relative_prefix_bucket,40-60%,403,1.0953782256005133,1.952113720830175,0.8125554770231247,2.5579087138175964,-1.0937130238690989,388
BPI17,tabpfn3,tabular_fm,RT,relative_prefix_bucket,60-80%,410,0.7615974495550845,1.345342386646288,0.36381787061691284,2.5112813830375673,-0.7525903744895647,401
BPI17,tabpfn3,tabular_fm,RT,relative_prefix_bucket,80-100%,441,0.33468366914604053,0.5358883985970896,0.041451215744018555,1.3996999561786652,-0.29824794394908105,429
BPI17,transformer,sequence,RT,relative_prefix_bucket,0-20%,339,1.0732926458771448,1.7915648864123037,1.0146586298942566,2.151308333873749,-0.9797171565874379,326
BPI17,transformer,sequence,RT,relative_prefix_bucket,20-40%,407,0.9464022448460251,1.4807704668532509,0.6954173147678375,2.046854168176651,-0.8691282112599955,401
BPI17,transformer,sequence,RT,relative_prefix_bucket,40-60%,403,0.8212420605706564,1.156998109649732,0.5976568758487701,1.818015557527542,-0.7760235132082197,388
BPI17,transformer,sequence,RT,relative_prefix_bucket,60-80%,410,0.6807390409408183,0.9975744380235275,0.33097705245018005,1.9344728559255602,-0.6346969997328592,401
BPI17,transformer,sequence,RT,relative_prefix_bucket,80-100%,441,0.3836561320518522,0.44390571485108427,0.17216992378234863,1.2588394582271576,-0.3606498896328061,429
BPI20PrepaidTravelCosts,gemma-2-2b,llm,RT,relative_prefix_bucket,0-20%,321,1.493768104264292,3.842309287183003,1.0672731474041939,3.4876761436462402,-1.4388872152948724,274
BPI20PrepaidTravelCosts,gemma-2-2b,llm,RT,relative_prefix_bucket,20-40%,418,1.4693502091107995,3.8101247886740377,1.0409403443336487,3.4810012392699727,-1.4282286608997667,331
BPI20PrepaidTravelCosts,gemma-2-2b,llm,RT,relative_prefix_bucket,40-60%,355,0.9354599862634926,1.289495044298296,0.8178160190582275,1.4576470792293552,-0.9290399052386342,293
BPI20PrepaidTravelCosts,gemma-2-2b,llm,RT,relative_prefix_bucket,60-80%,428,0.8053329209209568,0.7856910708023317,0.7601944953203201,1.2015755183994772,-0.8024055449113633,339
BPI20PrepaidTravelCosts,gemma-2-2b,llm,RT,relative_prefix_bucket,80-100%,478,0.7443750976549781,0.6012521152390018,0.7472279965877533,1.0091560661792756,-0.7423958822804265,364
BPI20PrepaidTravelCosts,llama32-1b,llm,RT,relative_prefix_bucket,0-20%,321,1.0946196039965974,2.048696886345171,0.8440110087394714,2.475268542766571,-0.5109904197812069,274
BPI20PrepaidTravelCosts,llama32-1b,llm,RT,relative_prefix_bucket,20-40%,418,1.0587866154769014,2.2326676570382684,0.7061733305454254,2.701244223117829,-0.7582195749441671,331
BPI20PrepaidTravelCosts,llama32-1b,llm,RT,relative_prefix_bucket,40-60%,355,0.49350683852557986,0.5904579613460016,0.3476563170552254,1.0295824289321904,-0.32019988965033225,293
BPI20PrepaidTravelCosts,llama32-1b,llm,RT,relative_prefix_bucket,60-80%,428,0.3584049765928268,0.2611267043911255,0.23182642459869385,0.863247050344944,-0.08331322707559491,339
BPI20PrepaidTravelCosts,llama32-1b,llm,RT,relative_prefix_bucket,80-100%,478,0.205415305975244,0.079717212009358,0.15198898315429688,0.4259577214717865,0.16732167561049477,364
BPI20PrepaidTravelCosts,rnn,sequence,RT,relative_prefix_bucket,0-20%,321,1.119355873723378,2.1646697086807807,0.8427500575780869,2.6729283332824707,-0.5459176928270608,274
BPI20PrepaidTravelCosts,rnn,sequence,RT,relative_prefix_bucket,20-40%,418,1.0862220776200577,2.3074562173711586,0.7516935616731644,2.7723257839679727,-0.6198873409359651,331
BPI20PrepaidTravelCosts,rnn,sequence,RT,relative_prefix_bucket,40-60%,355,0.5131770733366786,0.5533093738062306,0.3990680119022727,1.0139034073799849,0.05566334155696431,293
BPI20PrepaidTravelCosts,rnn,sequence,RT,relative_prefix_bucket,60-80%,428,0.4504384526655961,0.2840641603847274,0.4487261399626732,0.7376627236604691,0.3053147961006382,339
BPI20PrepaidTravelCosts,rnn,sequence,RT,relative_prefix_bucket,80-100%,478,0.3311450734781296,0.1385660184857498,0.320006787776947,0.5629835426807404,0.32684816547112233,364
BPI20PrepaidTravelCosts,saprpt,tabular_fm,RT,relative_prefix_bucket,0-20%,321,1.1437469772375086,2.3416450515310188,0.8799706697463989,2.692479133605957,-0.7328657051105911,274
BPI20PrepaidTravelCosts,saprpt,tabular_fm,RT,relative_prefix_bucket,20-40%,418,1.0752655786291752,2.2540920525093413,0.7469927668571472,2.6538343429565434,-0.65847204887635,331
BPI20PrepaidTravelCosts,saprpt,tabular_fm,RT,relative_prefix_bucket,40-60%,355,0.40295208442274116,0.46209133529468394,0.23120329529047012,0.8868508100509644,-0.1701224476256421,293
BPI20PrepaidTravelCosts,saprpt,tabular_fm,RT,relative_prefix_bucket,60-80%,428,0.24095298997431158,0.14672040627877206,0.14810481667518616,0.5965335436165334,0.003531937635390558,339
BPI20PrepaidTravelCosts,saprpt,tabular_fm,RT,relative_prefix_bucket,80-100%,478,0.0720142328870097,0.02844409786763793,0.023616909980773926,0.1338545858860016,0.04288668430188211,364
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,RT,relative_prefix_bucket,0-20%,321,1.1077381620115405,2.137778765477363,0.8891360461711884,2.465580940246582,-0.5683263997740265,274
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,RT,relative_prefix_bucket,20-40%,418,1.0525608761101344,2.1713211022246863,0.6942888796329498,2.687272807955742,-0.6029219055108201,331
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,RT,relative_prefix_bucket,40-60%,355,0.3983850342274027,0.44456206266702003,0.22465401887893677,0.9461578965187077,-0.0906972628782018,293
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,RT,relative_prefix_bucket,60-80%,428,0.2680540020337163,0.15822216915502743,0.18228697776794434,0.5684267856180668,0.06946646123112693,339
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,RT,relative_prefix_bucket,80-100%,478,0.0658416138439747,0.026225465109114963,0.022138118743896484,0.14363241493701942,0.04982950839225717,364
BPI20PrepaidTravelCosts,transformer,sequence,RT,relative_prefix_bucket,0-20%,321,1.1460193460317607,2.3321725025190907,0.8113461658358574,2.655338168144226,-0.6898329979054647,274
BPI20PrepaidTravelCosts,transformer,sequence,RT,relative_prefix_bucket,20-40%,418,1.1208602495055435,2.6063500650541105,0.6477382853627205,2.894216525554657,-0.9276157180252237,331
BPI20PrepaidTravelCosts,transformer,sequence,RT,relative_prefix_bucket,40-60%,355,0.4551165138751688,0.5650781839900162,0.2844041660428047,0.988618564605713,-0.3600619324810908,293
BPI20PrepaidTravelCosts,transformer,sequence,RT,relative_prefix_bucket,60-80%,428,0.24067141113054252,0.14440188764727305,0.14891304075717926,0.5511452220380306,-0.09200802120754373,339
