scope,dataset,model,model_pretty,paradigm,n_rows,n_cases,na_n,na_accuracy,na_error_rate,rt_n,rt_mse,rt_rmse,rt_mae,rt_median_ae,rt_p90_ae,rt_bias,nt_n,nt_mse,nt_rmse,nt_mae,nt_median_ae,nt_p90_ae,nt_bias
all_available_rows,BPI12,gemma-2-2b,Gemma-2-2B,llm,55952,2468,55952,0.5573884758364313,0.44261152416356875,55952,2.341631517489477,1.5302390393299594,1.1316503058677891,0.8235938064754009,2.90795685350895,-1.1048861263231964,55952,1.4958126494200132,1.223034197976497,0.43194287042655477,0.15648574382066727,0.6253750219941139,-0.2232539640209747
all_available_rows,BPI12,llama32-1b,Llama-3.2-1B,llm,55952,2468,55952,0.566682156133829,0.433317843866171,55952,2.7305321107745066,1.652432180385781,1.2102910162335456,0.915803462266922,3.1043238997459413,-1.198551181551191,55952,1.5919850069703976,1.2617388822456086,0.41001651832658276,0.11327125132083893,0.5791047066450119,-0.3479966155060745
all_available_rows,BPI12,rnn,RNN,sequence,55952,2468,55952,0.7578102659422362,0.24218973405776378,55952,1.7495525293139436,1.3227065166974659,0.9415766336704663,0.576702419668436,2.533882936090231,-0.8304774115782533,55952,1.360282119707833,1.166311330523644,0.4190488339742728,0.16836594697088003,0.6088526360690594,-0.21460298688149246
all_available_rows,BPI12,saprpt,SAP-RPT,tabular_fm,2000,1185,2000,0.632,0.368,2000,2.155807301881799,1.4682667679552646,1.0570150079991727,0.7953610429540277,2.65373147726059,-1.0327320056151656,2000,1.5554374898819796,1.2471717964586835,0.35785507478786166,0.06317969411611557,0.5155569463968287,-0.19562195244280156
all_available_rows,BPI12,tabpfn3,TabPFN-3,tabular_fm,2000,1185,2000,0.6385,0.36150000000000004,2000,2.311417591366375,1.5203346971526943,1.098831232909375,0.8690759427845478,2.816278386116028,-1.0824777742664156,2000,1.5494961302203656,1.2447875843774976,0.3482743762129685,0.04191041737794876,0.4126589965075257,-0.2081949707780732
all_available_rows,BPI12,transformer,Transformer,sequence,55952,2468,55952,0.7528059765513297,0.24719402344867025,55952,3.108560716775178,1.7631110903103009,1.3874124354046689,1.1300153955817223,3.2066892981529236,-1.3870994870358446,55952,1.4631324417607503,1.2096001164685586,0.3716582490468951,0.09198623895645142,0.5860252514481546,-0.32687989082494995
all_available_rows,BPI17,gemma-2-2b,Gemma-2-2B,llm,294882,7902,294882,0.8369958152752627,0.16300418472473732,294882,1.433445115302438,1.1972656828383739,0.8853958159355018,0.5606708228588104,2.1561678230762484,-0.8538371480742313,294882,0.934221688826147,0.9665514413760641,0.31464982373602696,0.15789561718702316,0.4210143357515337,-0.23192491147161237
all_available_rows,BPI17,llama32-1b,Llama-3.2-1B,llm,294882,7902,294882,0.7989907827537794,0.20100921724622056,294882,0.6450773301274794,0.8031670624020132,0.6238253993253403,0.5041459202766418,1.2489615142345438,-0.18217231757897798,294882,0.7406568781718803,0.8606142446949622,0.31653898337089537,0.14985952340066433,0.4560184031724932,0.061808503653642204
all_available_rows,BPI17,rnn,RNN,sequence,294882,7902,294882,0.8541857420934476,0.14581425790655245,294882,0.7229067408998671,0.8502392256887864,0.6221820078709529,0.39614658430218697,1.4875309467315683,-0.36700228129283446,294882,0.7622228086516772,0.8730537260968979,0.26223097343715496,0.10680567100644112,0.36498882174491903,-0.10492534023942193
all_available_rows,BPI17,saprpt,SAP-RPT,tabular_fm,2000,1724,2000,0.619,0.381,2000,1.3918840663694236,1.1797813637998456,0.8306247896523928,0.48889475339092314,2.1450469136238097,-0.7855928915710901,2000,1.197491961326013,1.0942997584419056,0.3160031334577361,0.07623817771673203,0.6661327570676808,-0.07454674207919743
