log,backbone,lr,batch_size,epochs,r,lora_alpha,embedding_size,hidden_size,strategy,n_runs,total_params,trainable_params,mt_score_mean,mt_score_std,mt_score_2task_mean,mt_score_2task_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),# params (%trainable)
BPI17,qwen25-05b,5e-05,8,10,16.0,32.0,896,896,sum,5.0,502899998.0,8867230.0,2.807726146207061,0.057029443136864234,1.9238309096255577,0.02861348270984171,0.7926309506853588,0.030747222099090473,0.635560399743559,0.10976683387583185,1.632163315080133,0.5089144322492282,0.9557242206750945,0.029757290802599257,0.8480843184731521,0.022716082799853505,0.4783684511821355,0.06407866920344425,1.055252586504614,0.2071126943807451,0.9055654809580392,0.05801982322586818,0.7926 ± 0.0307,0.6356 ± 0.1098,1.6322 ± 0.5089,0.9557 ± 0.0298,0.8481 ± 0.0227,0.4784 ± 0.0641,1.0553 ± 0.2071,0.9056 ± 0.058,2.66665 ± 0.00831,5.0e+08 (2%)
BPI17,qwen25-05b,5e-05,8,10,32.0,64.0,896,896,sum,5.0,511698206.0,17665438.0,2.8136866235335543,0.04739090021153269,1.9528148375933199,0.011780575264162839,0.7719847260938273,0.03866752168435833,0.6946783837203487,0.13860402014761689,1.0908063157749424,0.16521984969068318,0.9740992247284159,0.04470289542933015,0.8525545811544957,0.011217808191390836,0.4631256871236354,0.04968759421503838,0.9643196163226261,0.05642293027196105,0.866121467942563,0.02354641732727898,0.772 ± 0.0387,0.6947 ± 0.1386,1.0908 ± 0.1652,0.9741 ± 0.0447,0.8526 ± 0.0112,0.4631 ± 0.0497,0.9643 ± 0.0564,0.8661 ± 0.0235,2.95612 ± 0.32274,5.1e+08 (3%)
BPI17,qwen25-05b,5e-05,8,10,64.0,128.0,896,896,sum,5.0,529294622.0,35261854.0,2.815510323125738,0.06018195279570736,1.9555310069386884,0.010964462202896215,0.7711844059657761,0.04516238175830877,0.7248052569012824,0.20143399270054102,1.0841048890473974,0.1787828618389609,0.9361459267757064,0.04981508574708532,0.8506860371267152,0.02457742347560213,0.4392763525067071,0.11604389315643496,0.6979329301548975,0.030926525144907565,0.7764690403050827,0.068450161540771,0.7712 ± 0.0452,0.7248 ± 0.2014,1.0841 ± 0.1788,0.9361 ± 0.0498,0.8507 ± 0.0246,0.4393 ± 0.116,0.6979 ± 0.0309,0.7765 ± 0.0685,3.16294 ± 0.11289,5.3e+08 (7%)
BPI17,qwen25-05b,5e-05,8,10,128.0,256.0,896,896,sum,5.0,564487454.0,70454686.0,2.9586880097777626,0.0071586805056090864,1.994335868616353,0.0025808811813883004,0.8647804884665732,0.005523323068879236,0.380663453184898,0.02022714744458226,0.6320284775509574,0.009675498476519157,0.715009302702311,0.042956603261973585,0.8678854592684531,0.002898686776434316,0.3673172379391251,0.012567923485791064,0.5989625762600623,0.004910230759184728,0.6706305569801204,0.006128096523502823,0.8648 ± 0.0055,0.3807 ± 0.0202,0.632 ± 0.0097,0.715 ± 0.043,0.8679 ± 0.0029,0.3673 ± 0.0126,0.599 ± 0.0049,0.6706 ± 0.0061,2.83504 ± 0.16860,5.6e+08 (12%)
BPI17,qwen25-05b,5e-05,8,10,256.0,512.0,896,896,sum,10.0,634873118.0,140840350.0,2.948115633688772,0.005880231567378609,1.9956567864839987,0.002946884370998137,0.8541152054041955,0.004042582151134518,0.42638674595721743,0.009263289247114479,0.6289666391290754,0.028317552047934118,0.6963743177355688,0.03697860142769607,0.8604031443085709,0.0015086350443191052,0.40206833073319287,0.0071365293917592795,0.6106025315161568,0.00595566217534886,0.6791720759607388,0.018196956067058578,0.8541 ± 0.004,0.4264 ± 0.0093,0.629 ± 0.0283,0.6964 ± 0.037,0.8604 ± 0.0015,0.4021 ± 0.0071,0.6106 ± 0.006,0.6792 ± 0.0182,1.16616 ± 0.00620,6.3e+08 (22%)
