log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,total_params,trainable_params,mt_score_mean,mt_score_std,mt_score_2task_mean,mt_score_2task_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,selection_score,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),Setting,lora_alpha,r,few_shot_k,# params (%trainable)
BPI17,qwen25-05b,8.0,896.0,10.0,,5.0,896.0,5e-05,1.0,lstm,sum,0.1,5.0,494101790.0,112926.0,1.91986908938973,0.0553468545792259,1.8600010082176168,0.0377044660805383,0.0536865593695105,0.0218729427642939,3.526097443620258,0.1053804425052781,1.5521237918405826,0.3997719764838783,2.0616530514338445,0.4669286411916651,0.0576596740391071,0.0305349642615404,3.526097443620258,0.1053804425052781,1.5143885945760556,0.4118110631571202,2.047630267575615,0.4772716920590727,,BPI17,Qwen2.5-0.5B,0.0537 ± 0.0219,3.5261 ± 0.1054,1.5521 ± 0.3998,2.0617 ± 0.4669,0.0577 ± 0.0305,3.5261 ± 0.1054,1.5144 ± 0.4118,2.0476 ± 0.4773,0.09816 ± 0.00025,FewShot-Freezing,,,8.0,4.9e+08 (0%)
BPI17,qwen25-05b,8.0,896.0,10.0,,5.0,896.0,5e-05,1.0,,sum,0.1,5.0,634873118.0,140840350.0,2.007763211378625,0.0503381300839251,1.91902827167278,0.0463239478785736,0.0795728460875875,0.0541812336735792,3.074046055334541,0.2612141822808585,1.0036478839158396,0.1871814627529237,1.5998526143131544,0.706552079895083,0.1278640269667189,0.0413517232026761,2.9653695277518453,0.1926396734459446,0.757221834090102,0.0622029034180022,1.2114786581581372,0.0156113619627609,,BPI17,Qwen2.5-0.5B,0.0796 ± 0.0542,3.074 ± 0.2612,1.0036 ± 0.1872,1.5999 ± 0.7066,0.1279 ± 0.0414,2.9654 ± 0.1926,0.7572 ± 0.0622,1.2115 ± 0.0156,0.15257 ± 0.00034,FewShot-LoRA,512.0,256.0,8.0,6.3e+08 (22%)
BPI17,qwen25-05b,8.0,896.0,10.0,,5.0,896.0,5e-05,1.0,lstm,sum,0.1,5.0,494101790.0,112926.0,2.811852828474134,0.1182946652738963,1.9339863007084244,0.0343934344452531,0.7872247203966333,0.0922166499776375,0.6811643314738667,0.439458202379683,1.3239077563041364,0.5368644523259847,1.0690080425796389,0.195897938603625,0.830655652091345,0.0106498305375587,0.4819104562673851,0.0377951542744145,1.1661841464669591,0.3987708549727465,0.9692995768745172,0.0535139164522522,,BPI17,Qwen2.5-0.5B,0.7872 ± 0.0922,0.6812 ± 0.4395,1.3239 ± 0.5369,1.069 ± 0.1959,0.8307 ± 0.0106,0.4819 ± 0.0378,1.1662 ± 0.3988,0.9693 ± 0.0535,0.62665 ± 0.00186,Freezing,,,,4.9e+08 (0%)
BPI17,qwen25-05b,8.0,896.0,10.0,"-1,-2",5.0,896.0,5e-05,1.0,lstm,sum,0.1,5.0,494101790.0,29934110.0,2.7910271087362046,0.0398788720077326,1.931965221202217,0.0132436451161468,0.7703617040036355,0.0451159974662191,0.7062959029907853,0.1545514931539556,1.4362381681612413,0.287819519763534,1.0005231633617349,0.0472213619510603,0.8483054238644611,0.0059413329800018,0.4710382765461562,0.0389992765733697,0.9306633119121756,0.2942452729124373,0.9299755776991138,0.0445807445669534,,BPI17,Qwen2.5-0.5B,0.7704 ± 0.0451,0.7063 ± 0.1546,1.4362 ± 0.2878,1.0005 ± 0.0472,0.8483 ± 0.0059,0.471 ± 0.039,0.9307 ± 0.2942,0.93 ± 0.0446,0.66845 ± 0.00118,"Freezing-[-1, -2]",,,,4.9e+08 (6%)
BPI17,qwen25-05b,8.0,896.0,10.0,-1,5.0,896.0,5e-05,1.0,lstm,sum,0.1,5.0,494101790.0,15023518.0,2.7714347758712656,0.0700590360982295,1.8429742890635707,0.0781354912881154,0.8325947328083776,0.0157899715481222,0.4821694387764664,0.0546773367253762,2.945355560468113,1.3511400450864857,1.0820073110353656,0.07604867160859,0.8619875068671536,0.0045146638085716,0.393861378448857,0.0171420030577728,1.4127294643727917,0.7037336010777043,0.9236016633872952,0.0727854607101017,,BPI17,Qwen2.5-0.5B,0.8326 ± 0.0158,0.4822 ± 0.0547,2.9454 ± 1.3511,1.082 ± 0.076,0.862 ± 0.0045,0.3939 ± 0.0171,1.4127 ± 0.7037,0.9236 ± 0.0728,0.64996 ± 0.00054,Freezing-[-1],,,,4.9e+08 (3%)
BPI17,qwen25-05b,8.0,896.0,10.0,"0,1",5.0,896.0,5e-05,1.0,lstm,sum,0.1,5.0,494101790.0,29934110.0,2.5925278133759604,0.0740541148658466,1.8900626016533293,0.0359624609471151,0.6299340075013057,0.0447398609437399,1.2185556896895164,0.1751312801770251,2.0799633359803305,0.6404898727888165,1.0991408061291046,0.0674897111852862,0.8400051546042147,0.0093296261512875,0.4991107584070356,0.0177656730341048,1.9555486195374023,0.447606466190472,1.0039342869705896,0.0268227725135827,,BPI17,Qwen2.5-0.5B,0.6299 ± 0.0447,1.2186 ± 0.1751,2.08 ± 0.6405,1.0991 ± 0.0675,0.84 ± 0.0093,0.4991 ± 0.0178,1.9555 ± 0.4476,1.0039 ± 0.0268,0.66893 ± 0.00219,"Freezing-[0, 1]",,,,4.9e+08 (6%)
BPI17,qwen25-05b,8.0,896.0,10.0,0,5.0,896.0,5e-05,1.0,lstm,sum,0.1,5.0,494101790.0,15023518.0,2.6029231311386907,0.0848179838217883,1.833425121318592,0.0950739304430575,0.6900455097293154,0.0647924994629998,0.9681295563703914,0.164095571137005,3.165441346392155,1.7416690564635744,1.038353067921049,0.0564047291026391,0.8379704424142538,0.0052134780114385,0.4962355651152766,0.0093862918379637,2.051774567124585,0.2502422387844816,0.9678141918848984,0.0175980790294501,,BPI17,Qwen2.5-0.5B,0.69 ± 0.0648,0.9681 ± 0.1641,3.1654 ± 1.7417,1.0384 ± 0.0564,0.838 ± 0.0052,0.4962 ± 0.0094,2.0518 ± 0.2502,0.9678 ± 0.0176,0.64987 ± 0.00113,Freezing-[0],,,,4.9e+08 (3%)
BPI17,qwen25-05b,8.0,896.0,10.0,,5.0,896.0,5e-05,1.0,,sum,0.1,10.0,634873118.0,140840350.0,2.948115633688772,0.0058802315673786,1.9956567864839987,0.0029468843709981,0.8541152054041955,0.0040425821511345,0.4263867459572174,0.0092632892471144,0.6289666391290754,0.0283175520479341,0.6963743177355688,0.036978601427696,0.8604031443085709,0.0015086350443191,0.4020683307331928,0.0071365293917592,0.6106025315161568,0.0059556621753488,0.6791720759607388,0.0181969560670585,,BPI17,Qwen2.5-0.5B,0.8541 ± 0.004,0.4264 ± 0.0093,0.629 ± 0.0283,0.6964 ± 0.037,0.8604 ± 0.0015,0.4021 ± 0.0071,0.6106 ± 0.006,0.6792 ± 0.0182,1.16616 ± 0.00620,LoRA,512.0,256.0,,6.3e+08 (22%)
BPI17,qwen25-05b,8.0,896.0,0.0,,5.0,896.0,5e-05,1.0,lstm,sum,0.1,5.0,494101790.0,112926.0,1.780770238925691,0.1157778416402765,1.7315149845134836,0.094298385124682,0.0441695322196675,0.0285832082075185,4.108099495839782,0.1380757422978818,3.05038393092957,1.2040916674118696,2.7925938759913724,1.0481235164650111,0.0441695322196675,0.0285832082075185,4.108099495839782,0.1380757422978818,3.05038393092957,1.2040916674118696,2.7925938759913724,1.0481235164650111,,BPI17,Qwen2.5-0.5B,0.0442 ± 0.0286,4.1081 ± 0.1381,3.0504 ± 1.2041,2.7926 ± 1.0481,0.0442 ± 0.0286,4.1081 ± 0.1381,3.0504 ± 1.2041,2.7926 ± 1.0481,0.00897 ± 0.00002,ZeroShot,,,,4.9e+08 (0%)
