log,backbone,lr,batch_size,epochs,r,lora_alpha,embedding_size,hidden_size,strategy,n_runs,total_params,trainable_params,mt_score_mean,mt_score_std,mt_score_2task_mean,mt_score_2task_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),# params (%trainable)
BPI12,llama32-1b,5e-05,8,10,16.0,32.0,2048,2048,sum,5.0,1247240221.0,11425821.0,2.692956849998172,0.052232853249387305,1.8626400178367706,0.007055699961780645,0.7445846439805548,0.04938294530375042,0.7473636981509978,0.1444452001302779,2.3388005307249187,0.13036587400383937,1.3100511724985273,0.034654801685171384,0.7857484987131829,0.005767773326146221,0.6509302915761837,0.028483712074674986,2.0061342631040313,0.08835683748757685,1.27380649599052,0.028367560576566222,0.7446 ± 0.0494,0.7474 ± 0.1444,2.3388 ± 0.1304,1.3101 ± 0.0347,0.7857 ± 0.0058,0.6509 ± 0.0285,2.0061 ± 0.0884,1.2738 ± 0.0284,0.36026 ± 0.00018,1.2e+09 (1%)
BPI12,llama32-1b,5e-05,8,10,32.0,64.0,2048,2048,sum,5.0,1258512413.0,22698013.0,2.670103402471333,0.03501346579674036,1.8325877407144664,0.0182966870480681,0.7510401772948241,0.022829890920830216,0.7198600982661789,0.0716944985308546,2.755775188736441,0.3570499341411715,1.4210580563407524,0.0433322079797803,0.7925686302545039,0.02033379791043932,0.6126145361993256,0.05187420002415273,1.9823150146229545,0.18209241307525925,1.336253362542369,0.04161628773146013,0.751 ± 0.0228,0.7199 ± 0.0717,2.7558 ± 0.357,1.4211 ± 0.0433,0.7926 ± 0.0203,0.6126 ± 0.0519,1.9823 ± 0.1821,1.3363 ± 0.0416,0.36694 ± 0.00075,1.3e+09 (2%)
BPI12,llama32-1b,5e-05,8,10,64.0,128.0,2048,2048,sum,5.0,1281056797.0,45242397.0,2.589274780409638,0.08968255202295326,1.8270558468135398,0.009985709375549354,0.6835180154418073,0.08297192740905773,0.9364986441341305,0.272603705216838,2.823964077139731,0.07345346343342815,1.449210400711328,0.11041033576276775,0.7776915927938233,0.006732447590247499,0.6353893734887562,0.027510276985357605,2.145576321993775,0.36154263628018696,1.3614309320385902,0.0189618960204045,0.6835 ± 0.083,0.9365 ± 0.2726,2.824 ± 0.0735,1.4492 ± 0.1104,0.7777 ± 0.0067,0.6354 ± 0.0275,2.1456 ± 0.3615,1.3614 ± 0.019,0.38308 ± 0.00049,1.3e+09 (4%)
BPI12,llama32-1b,5e-05,8,10,128.0,256.0,2048,2048,sum,5.0,1326145565.0,90331165.0,2.3982232852236973,0.2949380148224882,1.831592485952246,0.0061170199728584045,0.508124821275379,0.26218581549782777,1.7443167413042928,1.2903209083168818,2.6464509233172135,0.0568405820400711,1.5356875356974669,0.060245307491231755,0.7079961395481841,0.03589780984013658,0.8939230488553059,0.1400478992528072,2.2970883086095233,0.2727779770260415,1.3935351545673182,0.05355313164586825,0.5081 ± 0.2622,1.7443 ± 1.2903,2.6465 ± 0.0568,1.5357 ± 0.0602,0.708 ± 0.0359,0.8939 ± 0.14,2.2971 ± 0.2728,1.3935 ± 0.0536,0.41412 ± 0.00052,1.3e+09 (7%)
BPI12,llama32-1b,5e-05,8,10,256.0,512.0,2048,2048,sum,10.0,1416323101.0,180508701.0,2.356965002947277,0.11301408661167203,1.822079208602896,0.007407271642592656,0.4796575636259651,0.10517842324933087,1.8530949940724408,0.5401254071075964,2.6797739134658016,0.1250912648654038,1.6597404769583703,0.03911699634303686,0.654836288247069,0.05678453032264437,1.1285075032901926,0.20047492655610433,2.3596927144091966,0.2540782061735344,1.4816027326179653,0.032084108878837315,0.4797 ± 0.1052,1.8531 ± 0.5401,2.6798 ± 0.1251,1.6597 ± 0.0391,0.6548 ± 0.0568,1.1285 ± 0.2005,2.3597 ± 0.2541,1.4816 ± 0.0321,0.48493 ± 0.00813,1.4e+09 (13%)
