log,backbone,lr,batch_size,epochs,r,lora_alpha,embedding_size,hidden_size,strategy,n_runs,total_params,trainable_params,mt_score_mean,mt_score_std,mt_score_2task_mean,mt_score_2task_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),# params (%trainable)
BPI12,gptneo-1b3,5e-05,8,10,16.0,32.0,2048,2048,sum,5.0,1318875165.0,3299357.0,2.536192789884839,0.03801026280604368,1.8392017895668147,0.007883753208993857,0.6250250214469546,0.04003610751954452,1.202048624214664,0.1963882439044485,2.510742662011172,0.11205531795190815,1.534729338759094,0.037996751245949145,0.6295932227623677,0.03055428210518807,1.1515865748767893,0.08507871557083768,2.3360701362263985,0.06437968478457921,1.4804048902004925,0.029646879226483437,0.625 ± 0.04,1.202 ± 0.1964,2.5107 ± 0.1121,1.5347 ± 0.038,0.6296 ± 0.0306,1.1516 ± 0.0851,2.3361 ± 0.0644,1.4804 ± 0.0296,0.41471 ± 0.00063,1.3e+09 (0%)
BPI12,gptneo-1b3,5e-05,8,10,32.0,64.0,2048,2048,sum,5.0,1322020893.0,6445085.0,2.5546418235521746,0.038384056219333454,1.8360184598816622,0.013151551844740508,0.6444237918215613,0.027894935560583617,1.081454223477912,0.14767615718935592,2.5882531487064293,0.20269742827762505,1.5164441700866476,0.052356177891573284,0.680597655132971,0.037149393383331855,0.9889323943993142,0.11400441728994005,2.3532491583963626,0.12714619557127912,1.4785804025145262,0.040211906978429475,0.6444 ± 0.0279,1.0815 ± 0.1477,2.5883 ± 0.2027,1.5164 ± 0.0524,0.6806 ± 0.0371,0.9889 ± 0.114,2.3532 ± 0.1271,1.4786 ± 0.0402,0.41650 ± 0.00090,1.3e+09 (0%)
BPI12,gptneo-1b3,5e-05,8,10,64.0,128.0,2048,2048,sum,5.0,1328312349.0,12736541.0,2.562398223681511,0.07591089596157516,1.8363328805786985,0.016770226855473913,0.6510973691735773,0.07464731943402554,1.0725946098864334,0.2297146159607022,2.5942029986748394,0.2727659317407306,1.5059904267231032,0.038944766006172124,0.689237203317129,0.04613509349192848,0.9474261197254321,0.12370428378230403,2.46575414118018,0.1988565271998385,1.4465881987320093,0.04095008648462023,0.6511 ± 0.0746,1.0726 ± 0.2297,2.5942 ± 0.2728,1.506 ± 0.0389,0.6892 ± 0.0461,0.9474 ± 0.1237,2.4658 ± 0.1989,1.4466 ± 0.041,0.42076 ± 0.00097,1.3e+09 (1%)
BPI12,gptneo-1b3,5e-05,8,10,128.0,256.0,2048,2048,sum,5.0,1340895261.0,25319453.0,2.588160260783865,0.06122978359438893,1.8327415504933398,0.011150832663533804,0.6774199313697455,0.046907242946795075,1.0677806358934643,0.08687272373844858,2.682058836117355,0.16224251666193826,1.4849913424059504,0.04300974858913803,0.704796968830426,0.04905996611455928,0.9841431198646452,0.16457781282023995,2.334031938719727,0.14494340602832068,1.4606133679853348,0.06477697023055652,0.6774 ± 0.0469,1.0678 ± 0.0869,2.6821 ± 0.1622,1.485 ± 0.043,0.7048 ± 0.0491,0.9841 ± 0.1646,2.334 ± 0.1449,1.4606 ± 0.0648,0.42942 ± 0.00109,1.3e+09 (2%)
BPI12,gptneo-1b3,5e-05,8,10,256.0,512.0,2048,2048,sum,10.0,1366061085.0,50485277.0,2.6169608978066763,0.030285112354867715,1.8194055166115721,0.009415268043259937,0.7152058907635116,0.02713220638538263,0.8868793945279092,0.098732858515972,2.780067687394622,0.1271183308940126,1.6126714798941617,0.05553991643131614,0.7259293680297397,0.03673834105423843,0.8727570753012994,0.11138711664158345,2.3990188481101073,0.20662950704442493,1.4540666061670573,0.06208344827525297,0.7152 ± 0.0271,0.8869 ± 0.0987,2.7801 ± 0.1271,1.6127 ± 0.0555,0.7259 ± 0.0367,0.8728 ± 0.1114,2.399 ± 0.2066,1.4541 ± 0.0621,0.45739 ± 0.00169,1.4e+09 (4%)
